#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,SO%
626,Alex Carrillo,NYM,1,1,4.31,13,0,0,0,,13,57,11,7,6,2,7,,1,14,0.246
627,Michel Otañez,TEX,1,1,4.31,17,0,0,0,,17,75,14,9,8,2,10,,1,19,0.253
628,William Kempner,MIA,1,2,4.44,25,0,0,0,,25,109,22,13,12,3,13,,2,26,0.239
629,Steven Wilson,TBR,0,1,4.64,9,0,0,0,,9,41,8,5,5,2,4,,1,9,0.22
630,Tommy Kahnle,BOS,0,1,4.4,15,0,0,0,,15,64,14,8,7,2,7,,1,13,0.203
631,Max Lazar,PHI,1,1,4.41,12,0,0,0,,12,50,12,6,6,2,4,,0,9,0.18
632,Andry Lara,WSN,0,0,5.06,4,0,0,0,,4,18,4,2,2,0,2,,0,3,0.167
633,Lake Bachar,MIA,2,2,4.24,35,0,0,5,,35,150,31,18,16,5,15,,1,35,0.233
634,Tyler Samaniego,BOS,1,1,4.31,28,0,0,0,,28,121,28,14,13,3,12,,1,22,0.182
635,Jeff Criswell,COL,1,1,4.71,17,0,0,0,,17,74,17,10,9,3,7,,1,16,0.216
636,Luis Curvelo,TEX,1,1,4.69,18,0,0,0,,18,79,17,10,10,3,8,,1,16,0.203
637,Tyler Gilbert,CHW,1,1,4.52,17,0,0,0,,17,74,16,9,9,2,7,,1,15,0.203
638,Ronan Kopp,LAD,1,0,4.61,7,0,0,0,,7,33,6,4,4,1,5,,0,8,0.242
639,Bobby Miller,LAD,0,0,4.77,8,0,0,0,,8,35,8,5,4,1,4,,1,8,0.229
640,Casey Legumina,TBR,2,2,4.55,35,0,0,5,,35,152,34,19,18,5,14,,2,31,0.204
641,Rob Zastryzny,MIL,2,1,4.1,27,0,0,0,,27,115,25,13,12,4,10,,1,24,0.209
642,Christian Roa,CHC,0,0,4.71,6,0,0,0,,6,29,6,4,3,1,4,,0,6,0.207
643,Andrew Walters,CLE,1,1,4.1,19,0,0,0,,19,82,16,10,9,3,10,,1,22,0.268
644,Doug Nikhazy,CHC,0,1,4.7,8,0,0,0,,8,37,8,5,4,1,4,,0,7,0.189
645,Tyler Schweitzer,CHW,1,1,4.5,22,0,0,0,,22,94,22,12,11,3,8,,1,16,0.17
646,Ken Waldichuk,WSN,0,0,4.79,5,0,0,0,,5,23,5,3,3,1,3,,0,5,0.217
647,Wandy Peralta,SDP,2,2,3.87,36,0,0,5,,36,156,33,17,16,4,15,,2,31,0.199
648,Alexis Díaz,TEX,0,1,4.78,10,0,0,0,,10,46,9,6,6,1,6,,1,10,0.217
649,Kade Strowd,ARI,1,1,4.06,20,0,0,0,,20,87,19,10,9,2,9,,1,18,0.207
650,Gordon Graceffo,STL,2,2,4.38,36,0,0,7,,36,154,36,19,18,4,12,,1,28,0.182
651,Taylor Rashi,ARI,1,1,4.15,22,0,0,0,,22,98,22,11,10,2,10,,1,20,0.204
652,Mitch Farris,LAA,1,2,4.55,32,0,0,3,,32,140,31,18,16,4,14,,1,31,0.221
653,Jake Eder,LAD,0,1,4.79,9,0,0,0,,9,40,9,5,5,1,4,,1,7,0.175
654,Josh Staumont,CIN,0,0,4.83,9,0,0,0,,9,41,9,5,5,1,5,,0,9,0.22
655,Beau Brieske,DET,1,1,4.51,16,0,0,0,,16,68,15,8,8,2,7,,1,14,0.206
656,Richard Lovelady,WSN,2,2,4.23,38,0,2,7,,38,166,36,20,18,4,15,,3,33,0.199
657,Juan Burgos,ARI,1,1,4.52,11,0,0,0,,11,49,11,6,6,1,5,,1,9,0.184
658,Marco Raya,MIN,1,1,4.57,16,0,0,0,,16,69,15,9,8,2,8,,1,14,0.203
659,Gregory Santos,SFG,1,1,4.07,24,0,0,0,,24,103,23,12,11,2,11,,1,19,0.184
