#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
338,Moisés Ballesteros,CHC,41,158,175,41,29,7,0,5,19,21,15,1,31,1,1,0,1,0,0.261
339,Pavin Smith,ARI,45,167,194,40,25,8,1,5,22,22,24,1,50,1,1,0,1,1,0.237
340,Jonny DeLuca,TBR,40,159,174,38,24,8,1,4,19,20,11,0,36,2,1,1,6,2,0.236
341,José Fermín,STL,28,104,121,25,17,6,0,2,14,12,13,0,15,2,1,1,3,1,0.237
342,Everson Pereira,CHW,46,177,197,40,25,7,1,7,24,23,16,0,63,3,1,0,3,1,0.227
343,Mitch Garver,SEA,28,96,112,19,12,3,0,4,12,12,14,0,33,1,1,0,1,0,0.201
344,Wenceel Pérez,DET,57,221,245,51,33,10,2,6,28,27,20,0,50,2,2,1,6,2,0.229
345,Nick Loftin,KCR,27,100,115,24,16,5,0,2,13,12,12,0,17,2,1,0,2,1,0.243
346,Brandon Valenzuela,TOR,22,78,87,17,11,3,0,2,9,9,8,0,23,0,1,0,1,0,0.212
347,Troy Johnston,COL,57,222,245,59,40,13,2,5,27,29,17,0,50,4,1,0,6,2,0.266
348,Taylor Walls,TBR,45,168,193,35,24,7,1,2,22,17,21,0,46,1,1,2,8,2,0.207
349,Rafael Marchán,PHI,24,86,96,18,13,4,0,2,9,9,7,0,17,2,1,0,0,0,0.212
350,Jonah Heim,ATH,26,95,105,22,14,4,0,3,11,12,8,0,20,1,1,0,0,0,0.227
351,Austin Hays,CHW,47,185,202,45,28,10,1,6,24,24,13,1,51,2,1,0,2,1,0.245
352,Drew Gilbert,SFG,45,172,192,40,26,8,1,4,20,20,15,0,37,3,1,1,2,1,0.23
353,Alex Freeland,LAD,22,84,96,19,12,4,0,3,11,10,11,0,26,1,1,0,2,1,0.222
354,Connor Wong,BOS,42,148,165,36,24,8,0,3,18,17,12,0,41,2,1,1,2,1,0.241
355,Tristan Peters,CHW,37,143,160,33,23,7,1,3,17,15,14,0,34,1,1,1,3,1,0.233
356,Travis d'Arnaud,LAA,29,106,117,23,14,5,0,3,12,12,8,0,32,2,1,0,0,0,0.213
357,Alex Jackson,MIN,17,60,66,12,7,3,0,2,7,7,5,0,22,1,0,0,0,0,0.204
358,Graham Pauley,MIA,35,134,150,29,18,7,0,4,16,16,13,0,32,1,1,1,2,1,0.22
359,Andruw Monasterio,BOS,28,107,120,27,18,6,0,2,14,12,11,0,27,1,1,0,3,2,0.248
360,Alejandro Osuna,TEX,24,92,105,23,16,4,0,2,12,11,10,0,21,2,1,1,3,1,0.249
361,Edwin Arroyo,CIN,29,114,125,29,20,5,1,2,13,13,8,0,24,1,1,0,2,1,0.253
362,Ke'Bryan Hayes,CIN,32,127,139,30,21,5,1,3,14,13,10,0,27,1,1,0,3,1,0.233
363,Christian Moore,LAA,22,83,95,19,13,3,1,2,10,9,11,0,28,1,1,0,2,1,0.227
364,CJ Kayfus,CLE,23,87,99,21,13,5,1,3,11,12,9,0,28,1,1,0,1,0,0.241
365,Agustín Ramírez,MIA,29,110,122,27,16,6,0,4,15,15,10,0,25,1,1,0,3,1,0.241
366,Justin Foscue,TEX,32,122,137,28,17,7,0,4,15,15,12,0,26,2,1,0,1,0,0.228
367,Bryan Torres,STL,22,80,93,22,17,4,0,1,10,9,11,0,16,1,1,1,3,1,0.271
368,Derek Hill,CHW,28,108,119,25,17,4,1,3,14,12,8,0,34,1,1,1,5,2,0.234
369,Isiah Kiner-Falefa,BOS,35,140,153,36,28,6,1,1,15,14,9,0,24,2,1,1,5,1,0.258
370,Edgar Quero,CHW,47,167,189,40,30,6,0,3,17,19,17,0,38,3,2,1,1,0,0.238
371,Starling Marte,KCR,38,149,165,40,29,7,1,3,18,16,11,0,36,3,1,0,4,1,0.267
372,Andrew Benintendi,CHW,74,289,321,71,48,13,2,9,34,37,27,1,64,1,2,1,2,1,0.246
373,Harry Ford,WSN,16,54,62,12,8,2,0,1,7,5,7,0,15,1,0,0,1,0,0.221
374,Rikuu Nishida,CHW,39,146,169,35,30,4,1,0,20,13,18,0,28,3,1,2,7,2,0.24
375,Jose Siri,LAA,27,108,118,22,13,4,0,4,14,14,8,0,42,1,1,0,3,1,0.205
376,Nick Sogard,BOS,31,117,134,28,20,6,0,1,15,12,15,0,28,1,1,1,3,1,0.24
377,Rodolfo Durán,SDP,16,58,63,13,8,3,0,2,7,7,4,0,15,1,0,1,0,0,0.223
378,Michael Conforto,CHC,33,122,141,27,17,6,0,4,16,15,16,0,36,2,1,0,0,0,0.225
379,Jorge Mateo,ATL,19,75,82,18,11,4,0,2,10,8,5,0,22,0,1,0,6,1,0.233
380,Jake Fraley,TBR,35,134,151,32,22,7,0,3,16,15,14,0,33,2,1,0,5,1,0.238
381,Leo Jiménez,MIA,19,71,82,17,12,3,0,1,9,8,7,0,17,3,1,0,1,0,0.234
382,Thomas Saggese,STL,28,111,121,27,19,5,0,2,13,12,8,0,32,1,1,0,1,1,0.24
383,Leo Rivas,SEA,16,56,68,12,9,2,0,1,8,5,10,0,18,1,0,1,2,1,0.205
384,Eric Haase,SFG,22,81,88,18,12,3,0,3,9,10,6,0,28,1,1,0,0,0,0.22
385,Jesse Winker,,19,69,82,16,11,3,0,2,10,9,12,0,18,1,1,0,1,0,0.239
386,Sam Haggerty,TEX,34,131,147,31,22,6,1,2,17,13,12,0,34,2,1,1,7,1,0.236
387,Bo Naylor,CLE,12,43,49,9,5,2,0,2,6,6,5,0,12,0,0,0,0,0,0.21
388,Max Clark,DET,19,72,82,17,12,3,1,1,8,7,8,0,16,1,1,0,2,1,0.233
389,Blake Dunn,CIN,25,93,106,22,16,3,0,2,13,10,9,0,29,3,1,1,4,1,0.241
390,Denzel Clarke,ATH,19,74,82,16,11,3,1,2,9,9,6,0,28,1,1,1,3,1,0.222
391,Tristan Gray,MIN,26,103,113,23,14,5,0,3,12,13,8,0,34,1,1,0,1,0,0.219
392,Jorbit Vivas,WSN,35,130,150,30,22,6,1,2,16,13,14,0,22,4,1,1,2,1,0.233
393,Brandon Lockridge,MIL,19,71,80,18,13,3,0,1,9,8,7,0,21,1,0,1,4,1,0.247
394,Colby Thomas,ATH,16,63,69,15,9,4,0,2,8,10,4,0,20,1,0,0,1,0,0.243
395,Jahmai Jones,DET,22,82,95,19,12,4,1,3,12,11,10,0,24,2,1,0,2,1,0.234
396,Wade Meckler,LAA,24,92,104,24,18,4,1,1,11,10,11,0,22,1,1,0,2,1,0.259
397,Nick Allen,HOU,21,81,90,19,14,3,0,1,9,7,7,0,18,1,1,1,2,1,0.233
398,César Salazar,HOU,12,42,49,9,6,2,0,1,5,5,5,0,10,2,0,0,0,0,0.204
399,Griffin Conine,MIA,38,145,163,33,21,6,1,6,19,20,16,0,53,2,1,0,1,0,0.227
400,Jared Young,NYM,17,64,73,15,10,3,0,3,9,9,7,0,18,1,1,0,1,0,0.24
401,Alika Williams,ATH,19,75,82,18,13,3,0,1,9,8,5,0,17,1,1,1,1,0,0.239
402,Weston Wilson,BAL,15,56,64,12,8,2,0,2,8,7,6,0,18,0,0,0,2,1,0.219
403,Mickey Gasper,BOS,17,62,72,15,10,3,0,1,8,8,7,0,14,1,0,0,1,0,0.245
404,Ryan Kreidler,MIN,28,106,122,21,14,5,0,3,13,12,13,0,38,2,1,1,3,1,0.201
405,Bryce Eldridge,SFG,57,221,247,51,30,11,0,9,24,30,22,2,76,2,2,0,1,0,0.229
406,Ryan Mountcastle,BAL,19,75,82,19,12,4,0,3,9,10,5,0,20,1,1,0,0,0,0.255
407,Noelvi Marte,CIN,40,157,171,39,27,7,1,5,20,20,11,0,39,2,1,0,5,2,0.251
408,Jimmy Crooks,STL,13,46,52,10,7,2,0,1,5,5,4,0,15,1,0,0,0,0,0.225
409,Hyeseong Kim,LAD,18,71,78,18,13,3,1,1,9,8,5,0,19,1,1,0,4,1,0.247
410,Jhonny Pereda,SEA,9,33,37,8,6,1,0,1,4,3,4,0,9,0,0,0,0,0,0.233
411,Tommy Troy,ARI,21,83,92,20,14,4,0,1,10,9,8,0,21,1,1,0,2,1,0.243
412,George Valera,CLE,29,112,126,26,16,5,0,4,14,15,12,0,34,1,1,0,0,0,0.23
413,Zach Cole,HOU,23,88,99,18,10,4,1,3,11,12,8,0,39,1,1,0,3,1,0.207
414,Donovan Walton,LAA,16,61,68,14,10,3,0,1,7,6,6,0,12,1,0,0,0,0,0.235
415,Tyler Tolbert,KCR,23,91,101,21,15,4,1,1,12,9,6,0,26,1,1,2,8,1,0.226
416,Andrés Chaparro,WSN,17,65,73,15,9,3,0,3,8,9,6,0,17,1,0,0,0,0,0.237
417,Javier Báez,DET,33,132,141,31,21,6,1,3,15,16,5,0,33,2,1,0,2,1,0.234
418,Heriberto Hernández,MIA,32,119,136,27,17,5,1,4,15,17,14,0,39,1,1,0,3,1,0.225
419,Blake Perkins,MIL,17,66,75,14,10,3,0,1,8,7,8,0,20,1,0,0,3,1,0.214
420,Braden Shewmake,HOU,33,133,144,29,20,6,1,3,15,14,8,0,29,1,1,1,3,1,0.22
421,Kaelen Culpepper,MIN,10,41,45,9,6,2,0,1,5,5,4,0,10,1,0,0,1,0,0.232
422,Myles Straw,TOR,23,90,100,21,16,4,0,1,11,8,8,0,19,0,1,1,3,1,0.235
423,Dominic Smith,ATL,54,209,231,53,37,9,1,6,26,27,17,0,46,3,2,1,1,0,0.253
424,Victor Mesa Jr.,TBR,16,64,71,15,10,3,0,2,7,8,5,0,15,1,0,0,1,0,0.236
425,Esmerlyn Valdez,PIT,18,69,77,16,10,3,0,3,9,10,7,0,23,1,1,0,0,0,0.233
426,Triston Casas,BOS,12,43,51,10,6,2,0,2,6,6,7,1,13,0,0,0,0,0,0.236
427,Reese McGuire,CHW,13,46,50,10,7,2,0,1,4,5,3,0,12,1,0,0,0,0,0.22
428,Spencer Jones,NYY,13,50,55,11,6,2,0,2,7,7,4,0,21,0,0,0,2,0,0.225
429,Abimelec Ortiz,WSN,37,142,159,32,19,7,0,6,18,18,13,0,39,2,1,1,1,0,0.226
430,Jon Berti,,15,58,64,14,11,2,0,1,7,6,5,0,13,1,0,0,3,1,0.248
431,Orlando Arcia,MIN,16,62,68,14,10,3,0,2,6,7,5,0,14,0,0,0,0,0,0.23
432,Cody Freeman,TEX,11,42,46,10,7,2,0,1,5,5,3,0,7,0,0,0,1,0,0.244
433,Ryan Ritter,COL,8,32,36,8,5,2,0,1,4,4,3,0,10,1,0,0,1,0,0.25
434,Zach Dezenzo,HOU,27,106,117,24,15,6,0,3,14,12,9,0,36,1,1,0,1,0,0.231
435,Hao-Yu Lee,DET,10,41,45,9,6,2,0,1,5,5,3,0,10,1,0,0,1,0,0.229
436,Enrique Hernández,LAD,29,113,124,25,16,6,0,3,14,14,9,0,29,1,1,0,0,0,0.226
