#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
556,Tyler Black,MIL,1,4,5,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0.224
557,RJ Schreck,TOR,1,4,5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.213
558,Garrett Hampson,CIN,1,4,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.213
559,Braden Montgomery,CHW,14,54,60,12,8,2,0,1,6,6,5,0,17,1,0,0,1,0,0.229
560,Maximo Acosta,MIA,3,13,14,3,2,1,0,0,2,1,1,0,3,0,0,0,1,0,0.229
561,Akil Baddoo,MIL,1,4,5,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0.213
562,Christian Franklin,WSN,2,8,9,2,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0.227
563,Jared Serna,MIA,1,4,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.231
564,Oliver Dunn,TBR,4,17,19,3,2,1,0,0,2,1,2,0,6,0,0,0,0,0,0.205
565,Stuart Fairchild,CLE,1,4,4,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.221
566,Tomás Nido,DET,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.224
567,Kristian Robinson,ARI,1,4,5,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0.222
568,Héctor Rodríguez,CIN,2,9,9,2,2,0,0,0,1,1,1,0,2,0,0,0,0,0,0.251
569,Johnathan Rodríguez,BAL,1,4,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.238
570,Adael Amador,COL,5,20,23,5,3,1,0,0,3,2,2,0,4,0,0,0,1,0,0.241
571,Carlos Santana,ARI,22,86,97,19,13,4,0,2,10,11,10,0,18,1,1,0,1,0,0.219
572,LaMonte Wade Jr.,CHW,2,8,9,2,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0.219
573,Brandon Drury,KCR,2,8,9,2,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0.221
574,José Barrero,BAL,2,8,9,2,2,0,0,0,1,1,1,0,3,0,0,0,0,0,0.207
575,A.J. Vukovich,ARI,2,9,9,2,2,0,0,0,1,1,1,0,3,0,0,0,0,0,0.24
576,Dominic Fletcher,PIT,1,4,5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.231
577,Riley Adams,WSN,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.212
578,Nicky Lopez,TEX,14,54,60,13,11,2,0,0,6,4,5,0,9,0,0,0,1,0,0.239
579,Charlie Condon,COL,17,64,73,16,10,3,0,2,8,8,6,0,20,1,1,0,1,0,0.243
580,Ethan Murray,MIL,1,4,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.196
581,Brock Wilken,MIL,4,17,19,3,2,1,0,1,2,2,2,0,6,0,0,0,0,0,0.192
582,Justin Turner,,16,61,69,15,10,3,0,2,7,7,6,0,13,1,1,0,0,0,0.241
583,Luis Vázquez,BAL,1,4,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.229
584,Trey Mancini,LAA,1,4,5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.223
585,Patrick Wisdom,SEA,5,20,23,4,3,0,0,1,3,4,2,0,8,0,0,0,0,0,0.193
586,Korey Lee,CHW,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.215
587,Nick Madrigal,LAA,7,29,32,7,6,1,0,0,4,2,2,0,4,0,0,0,0,0,0.251
588,Denzer Guzman,LAA,5,21,23,4,3,1,0,0,2,2,2,0,7,0,0,0,0,0,0.216
589,Rafael Flores Jr.,PIT,5,19,21,4,3,1,0,1,2,2,2,0,6,0,0,0,0,0,0.232
590,Hayden Senger,NYM,7,27,29,5,4,1,0,0,2,2,2,0,9,0,0,0,0,0,0.2
591,Rhylan Thomas,HOU,2,8,9,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.232
592,TJ Rumfield,COL,82,318,354,80,54,16,1,9,39,42,29,1,69,4,2,0,2,1,0.252
593,Michael Conforto,CHC,33,122,141,27,18,5,0,4,16,16,16,0,35,2,1,0,0,0,0.225
594,Yohel Pozo,STL,16,64,68,16,11,3,0,2,7,8,3,0,9,0,1,0,0,0,0.245
595,Connor Joe,SEA,2,8,9,2,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0.211
596,Nick Allen,HOU,21,81,90,18,14,3,0,1,9,6,7,0,19,0,1,1,2,1,0.222
597,Adam Frazier,LAA,40,156,172,36,26,7,1,2,18,15,12,0,33,2,1,1,3,1,0.228
598,Abimelec Ortiz,WSN,37,143,159,32,21,7,0,5,17,19,13,0,39,1,1,0,1,0,0.226
599,Billy Cook,PIT,3,13,14,3,2,1,0,0,1,1,1,0,4,0,0,0,0,0,0.224
600,Grant McCray,SFG,2,8,9,2,1,0,0,0,1,1,1,0,3,0,0,0,0,0,0.209
601,Bryan De La Cruz,PHI,7,30,32,7,5,1,0,1,3,4,2,0,9,0,0,0,0,0,0.23
602,Seby Zavala,LAD,1,4,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.187
603,Nelson Velázquez,STL,8,30,33,7,4,1,0,1,4,4,3,0,9,0,0,0,1,0,0.221
604,Ryan Ward,LAD,13,50,55,11,7,2,0,2,6,7,4,0,14,0,0,0,0,0,0.217
605,Brennen Davis,SEA,2,8,9,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0.2
606,Jose Fernandez,ARI,66,268,287,68,47,13,2,6,32,32,13,0,65,2,2,2,4,1,0.252
607,Bryce Johnson,SDP,15,57,65,13,9,2,0,1,7,5,5,0,17,1,0,1,2,1,0.22
608,Jhostynxon Garcia,PIT,30,121,132,28,18,5,1,3,15,14,9,0,39,1,1,0,2,0,0.228
609,MJ Melendez,NYM,24,95,105,20,11,5,0,4,12,12,9,0,31,1,1,0,2,1,0.208
610,Jacob Berry,MIA,9,37,41,8,6,2,0,0,4,4,3,0,8,0,0,0,1,0,0.226
611,Victor Mesa Jr.,TBR,16,65,71,15,11,2,0,1,9,9,5,0,14,0,0,1,0,0,0.228
612,Tim Elko,CHW,8,34,37,8,5,1,0,1,4,4,2,0,13,0,0,0,0,0,0.229
613,John Rave,KCR,13,49,55,11,7,2,0,1,6,5,5,0,14,0,0,0,2,0,0.222
614,Zack Short,DET,6,24,27,4,3,0,0,0,2,2,3,0,9,0,0,0,0,0,0.156
615,Victor Bericoto,SFG,17,68,73,16,13,2,0,1,10,9,4,0,17,0,0,0,0,0,0.239
616,Justin Foscue,TEX,32,124,137,27,17,7,0,3,14,14,11,0,27,2,1,0,1,0,0.22
617,Deyvison De Los Santos,MIA,16,63,68,15,10,2,0,2,7,8,4,0,17,1,0,0,1,0,0.234
618,Josh Kasevich,TOR,3,13,14,3,2,1,0,0,2,1,1,0,2,0,0,0,0,0,0.241
619,Eric Wagaman,NYM,7,30,32,7,5,1,0,1,4,4,2,0,7,0,0,0,0,0,0.236
620,Zac Veen,COL,17,66,73,16,10,3,0,2,8,7,5,0,18,1,1,0,2,1,0.236
621,Ryan Vilade,TBR,34,131,146,30,20,6,1,3,16,15,11,0,37,2,1,0,2,1,0.227
