#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
286,Denzel Clarke,ATH,58,195,220,43,28,9,2,4,27,25,17,0,75,4,1,2,8,2,0.221
287,Troy Johnston,COL,84,294,325,81,54,18,3,7,37,41,23,1,65,6,2,0,8,3,0.275
288,Taylor Trammell,HOU,57,171,196,39,22,10,1,7,25,25,23,0,56,2,1,0,5,2,0.231
289,Jake Rogers,DET,51,146,163,29,18,7,1,4,19,19,14,0,48,1,2,1,0,0,0.201
290,Liam Hicks,MIA,77,245,284,62,46,9,1,7,30,37,29,0,38,7,3,1,1,0,0.251
291,Kerry Carpenter,DET,80,263,290,65,39,11,2,14,35,47,20,1,74,4,2,0,1,1,0.248
292,Masataka Yoshida,BOS,68,232,259,64,44,14,1,6,27,30,21,1,31,5,2,0,3,0,0.277
293,Daniel Susac,SFG,61,218,235,53,38,9,1,5,19,30,13,0,65,3,1,0,2,1,0.243
294,Brooks Lee,MIN,88,321,347,79,54,15,1,9,36,42,22,1,61,2,2,0,3,1,0.248
295,Josh Lowe,LAA,80,269,295,65,41,13,2,9,34,35,22,1,83,1,2,1,11,2,0.242
296,Lourdes Gurriel Jr.,ARI,76,289,313,76,51,15,1,9,32,40,19,1,51,3,2,0,4,1,0.263
297,Jordan Walker,STL,93,338,373,84,53,16,1,13,43,47,29,1,99,4,2,0,7,3,0.248
298,Austin Hedges,CLE,47,111,128,22,16,4,0,2,12,9,12,0,31,1,1,3,1,1,0.201
299,Nick Loftin,KCR,67,218,250,53,35,13,1,5,30,30,26,0,38,4,2,1,4,2,0.241
300,Eli White,ATL,66,173,189,42,29,6,1,5,27,22,11,1,49,3,1,1,7,1,0.242
301,Rodolfo Durán,SDP,49,169,186,38,24,8,1,6,21,22,11,0,46,2,1,2,1,0,0.224
302,Ezequiel Duran,TEX,79,245,266,63,40,16,1,6,32,31,16,0,63,2,2,1,7,2,0.257
303,Edmundo Sosa,PHI,64,171,184,42,27,8,1,5,22,24,6,0,41,4,1,1,3,1,0.245
304,Jared Oliva,SFG,55,174,192,41,28,7,2,4,28,22,12,0,43,4,1,2,16,2,0.237
305,Justin Foscue,TEX,64,241,270,55,33,14,1,8,31,33,22,0,47,4,2,1,3,1,0.229
306,Vaughn Grissom,LAA,71,261,292,65,45,13,1,6,34,32,23,0,51,5,2,0,5,1,0.247
307,Alek Thomas,LAD,83,264,286,63,40,14,2,7,35,31,15,0,65,3,2,3,5,2,0.238
308,Nick Fortes,TBR,72,194,213,45,34,7,0,4,21,20,12,0,34,4,1,2,1,1,0.233
309,Ramón Urías,STL,68,202,225,48,31,10,1,6,24,23,17,0,49,4,2,0,2,0,0.235
310,TJ Rumfield,COL,87,314,352,84,57,17,1,9,41,40,30,1,63,6,2,0,2,1,0.268
311,Ryan Bliss,SEA,61,229,256,49,33,11,1,5,31,27,21,0,69,3,2,1,13,7,0.214
312,A.J. Ewing,NYM,77,300,333,74,54,13,5,2,44,33,29,1,76,2,2,1,22,5,0.249
313,Weston Wilson,BAL,63,194,219,43,27,8,1,8,29,24,22,1,62,1,1,1,6,2,0.223
314,Austin Hays,CHW,67,232,251,59,36,13,2,8,33,31,16,1,64,2,1,0,3,1,0.254
315,Isaac Collins,KCR,81,256,301,59,39,13,3,5,37,30,38,1,66,5,2,1,9,4,0.231
316,Jared Young,NYM,59,195,223,47,29,9,1,8,28,31,22,0,53,4,2,1,3,1,0.243
317,Kyle Higashioka,TEX,56,167,181,37,24,7,1,6,18,23,12,0,47,1,1,1,1,1,0.224
318,Garrett Mitchell,MIL,52,160,185,37,23,8,1,4,23,25,21,0,63,1,1,1,7,3,0.231
319,Mauricio Dubón,ATL,89,271,291,70,49,15,1,4,33,31,15,0,39,2,1,1,2,1,0.257
320,Ke'Bryan Hayes,CIN,86,294,320,66,49,10,1,6,31,29,22,1,61,2,2,0,6,2,0.226
321,JJ Bleday,CIN,81,281,321,67,36,15,1,15,43,46,36,1,71,1,2,0,2,1,0.238
322,Griffin Conine,MIA,59,195,220,45,28,8,1,7,25,27,21,0,73,2,1,0,1,1,0.229
323,Lane Thomas,KCR,79,259,294,61,38,12,3,8,34,35,29,0,74,4,2,0,10,4,0.236
324,Blake Dunn,CIN,73,243,281,61,45,9,1,6,38,30,25,0,77,8,1,3,11,2,0.249
325,Dane Myers,CIN,75,215,240,54,39,8,1,7,31,31,20,0,59,3,2,0,8,2,0.253
326,Alejandro Osuna,TEX,71,227,262,57,40,11,2,4,32,28,24,1,54,7,1,2,8,4,0.252
327,Carson Benge,NYM,82,313,351,77,52,14,3,8,47,41,31,1,74,5,2,0,9,2,0.246
328,Christian Vázquez,HOU,54,167,183,38,28,6,0,4,16,19,13,0,35,1,1,2,1,1,0.228
329,Jake Bauers,MIL,73,212,243,52,28,12,1,11,33,36,28,2,67,2,1,0,7,1,0.244
330,Josh Bell,MIN,90,317,360,78,51,15,1,12,38,44,38,1,70,3,2,0,0,1,0.246
331,Rhys Hoskins,CLE,72,236,277,52,29,13,1,11,31,33,36,1,77,3,3,0,1,1,0.222
332,Brady House,WSN,88,326,349,80,54,15,1,10,41,46,18,1,96,3,2,0,3,2,0.246
