#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
213,Lane Thomas,KCR,65,249,279,62,40,13,1,8,34,32,25,0,64,3,2,1,10,4,0.25
214,Jordan Lawlar,ARI,49,189,213,46,29,10,2,5,27,23,18,0,54,3,1,1,9,2,0.241
215,Kyle Teel,CHW,42,150,171,37,26,7,0,5,19,18,19,0,43,1,1,1,2,1,0.247
216,Dylan Crews,WSN,80,312,345,75,49,14,2,10,40,37,23,0,81,6,2,2,13,4,0.239
217,Cole Young,SEA,84,319,363,74,50,15,2,7,43,34,34,1,71,5,3,1,6,3,0.231
218,Dalton Rushing,LAD,40,139,160,32,19,6,0,6,19,20,16,0,43,3,1,0,0,0,0.228
219,Colt Emerson,SEA,82,314,354,67,44,14,1,8,38,34,29,0,94,6,2,2,8,2,0.213
220,Zach McKinstry,DET,65,252,281,59,39,11,3,5,36,26,23,0,59,3,2,2,9,2,0.233
221,Ryan Jeffers,MIN,36,127,145,32,20,7,0,5,18,18,15,0,30,2,1,0,1,0,0.253
222,Lourdes Gurriel Jr.,ARI,79,313,342,81,54,17,1,10,39,40,22,0,58,3,3,1,4,2,0.259
223,Danny Jansen,TEX,56,194,222,42,26,9,0,7,24,25,22,0,52,3,2,1,1,0,0.218
224,Carson Williams,TBR,63,244,273,53,30,10,3,10,35,30,23,0,92,3,2,1,8,3,0.215
225,Tommy Edman,LAD,61,241,266,57,39,12,1,6,29,28,18,0,47,3,2,1,8,1,0.237
226,Casey Schmitt,SFG,86,340,371,83,54,16,0,12,40,44,22,0,83,5,3,2,4,1,0.245
227,Henry Davis,PIT,42,146,166,34,22,7,0,5,19,18,14,0,40,4,1,1,3,1,0.231
228,Heliot Ramos,SFG,64,249,275,63,41,12,1,9,33,33,20,1,68,3,2,1,3,1,0.252
229,Miguel Amaya,CHC,44,155,176,36,24,7,0,5,19,18,15,0,37,4,1,1,1,0,0.231
230,Tyler Freeman,COL,63,240,272,66,48,13,1,4,32,25,19,0,36,10,2,1,9,3,0.273
231,Mauricio Dubón,ATL,83,329,358,83,60,17,1,5,38,34,22,0,52,2,3,2,4,2,0.252
232,Ryan O'Hearn,PIT,63,243,272,63,43,12,1,8,32,31,24,1,53,3,2,1,2,0,0.261
233,Brenton Doyle,COL,59,233,254,57,37,10,1,8,28,29,16,0,70,1,2,2,11,2,0.244
234,Kyle Manzardo,CLE,78,297,337,69,41,15,0,13,39,43,33,1,81,4,2,1,1,0,0.233
235,Romy Gonzalez,BOS,39,154,166,41,26,9,2,5,21,22,9,0,42,2,2,0,4,2,0.269
236,Nick Fortes,TBR,56,199,220,46,33,9,0,4,22,20,13,0,37,4,2,1,2,1,0.231
237,Wenceel Pérez,DET,57,221,245,53,35,10,3,6,32,25,20,0,48,1,2,1,7,2,0.241
238,Edmundo Sosa,PHI,59,235,256,58,38,11,2,7,31,28,13,0,57,6,2,1,4,1,0.246
