Date,Home,Away,Home_Score,Away_Score,Total_Score,Home_Win,Over_8,Over_4,F5_Home_Score,F5_Away_Score,F5_Total_Score,F5_Home_Win,F1_Home_Score,F1_Away_Score,F1_Total_Score,Any_Runs,Home_Win_Prob,Over_8_Prob,Over_4_Prob,RIFI_Prob
4/17/25,CIN,SEA,7,11,18,0,1,1,2,4,6,0,2,0,2,1,0.41,0.55,0.54,0.52
4/17/25,BAL,CLE,6,2,8,1,0,1,4,2,6,1,1,0,1,1,0.4,0.53,0.52,0.51
4/18/25,LAA,SF,2,0,2,1,0,0,2,0,2,1,0,0,0,0,0.29,0.55,0.54,0.5
4/18/25,CHC,AZ,13,11,24,1,1,0,2,1,3,1,0,0,0,0,0.55,0.5,0.51,0.52
4/18/25,TB,NYY,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0.49,0.49,0.5,0.51
4/18/25,PHI,MIA,7,2,9,1,1,1,7,0,7,1,2,0,2,1,0.65,0.43,0.47,0.47
4/18/25,BAL,CIN,3,8,11,0,1,1,1,7,8,0,0,0,0,0,0.63,0.47,0.49,0.5
4/18/25,ATL,MIN,6,4,10,1,1,1,1,4,5,0,0,0,0,0,0.57,0.54,0.53,0.51
4/19/25,PHI,MIA,11,10,21,1,1,1,9,1,10,1,0,0,0,0,0.47,0.68,0.63,0.57
4/19/25,MIL,ATH,1,3,4,0,0,0,1,1,2,0,0,0,0,0,0.42,0.69,0.64,0.56
4/19/25,CHC,AZ,6,2,8,1,0,1,6,1,7,1,2,1,3,1,0.62,0.49,0.5,0.51
4/19/25,TOR,SEA,4,8,12,0,1,0,2,2,4,0,1,0,1,1,0.33,0.55,0.54,0.51
4/19/25,BAL,CIN,9,5,14,1,1,1,5,3,8,1,2,1,3,1,0.52,0.54,0.54,0.53
4/19/25,DET,KC,3,1,4,1,0,0,3,0,3,1,0,0,0,0,0.53,0.44,0.46,0.51
4/19/25,ATL,MIN,4,3,7,1,0,0,2,2,4,0,1,1,2,1,0.59,0.3,0.35,0.46
4/21/25,SF,MIL,5,2,7,1,0,0,2,2,4,0,0,0,0,0,0.48,0.47,0.48,0.47
4/21/25,HOU,TOR,7,0,7,1,0,0,4,0,4,1,0,0,0,0,0.49,0.51,0.5,0.53
4/21/25,ATL,STL,7,6,13,1,1,0,2,2,4,0,0,0,0,0,0.7,0.53,0.53,0.52
4/22/25,LAA,PIT,3,9,12,0,1,1,3,6,9,0,0,0,0,0,0.71,0.53,0.53,0.54
4/22/25,AZ,TB,5,1,6,1,0,0,3,1,4,1,0,0,0,0,0.53,0.54,0.54,0.52
4/22/25,ATH,TEX,5,8,13,0,1,1,2,7,9,0,0,2,2,1,0.47,0.75,0.7,0.6
4/22/25,HOU,TOR,5,1,6,1,0,0,3,1,4,1,3,0,3,1,0.48,0.65,0.61,0.57
4/22/25,CLE,NYY,3,2,5,1,0,0,0,1,1,0,0,1,1,1,0.49,0.49,0.5,0.52
4/22/25,MIA,CIN,4,3,7,1,0,0,1,2,3,0,1,0,1,1,0.54,0.4,0.42,0.46
4/22/25,WSH,BAL,7,0,7,1,0,1,5,0,5,1,2,0,2,1,0.38,0.54,0.53,0.51
4/22/25,BOS,SEA,8,3,11,1,1,1,4,1,5,1,1,1,2,1,0.52,0.56,0.55,0.53
4/22/25,ATL,STL,4,10,14,0,1,1,4,2,6,1,0,0,0,0,0.49,0.51,0.52,0.5
4/23/25,SF,MIL,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0.53,0.31,0.35,0.43
4/23/25,WSH,BAL,4,3,7,1,0,0,3,1,4,1,3,0,3,1,0.55,0.54,0.53,0.53
4/23/25,ATL,STL,4,1,5,1,0,0,0,1,1,0,0,1,1,1,0.59,0.55,0.54,0.54
4/24/25,AZ,TB,4,7,11,0,1,1,4,1,5,1,1,0,1,1,0.49,0.41,0.42,0.48
4/24/25,WSH,BAL,1,2,3,0,0,0,1,2,3,0,0,0,0,0,0.54,0.41,0.42,0.45
4/24/25,BOS,SEA,3,4,7,0,0,1,2,4,6,0,1,2,3,1,0.59,0.25,0.3,0.42
4/25/25,SF,TEX,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0.37,0.4,0.42,0.46
4/25/25,SEA,MIA,4,8,12,0,1,1,1,6,7,0,0,0,0,0,0.7,0.43,0.46,0.49
4/25/25,LAD,PIT,0,3,3,0,0,0,0,3,3,0,0,1,1,1,0.59,0.29,0.34,0.45
4/25/25,AZ,ATL,2,8,10,0,1,0,1,3,4,0,0,0,0,0,0.44,0.37,0.41,0.45
4/25/25,CHC,PHI,4,0,4,1,0,0,3,0,3,1,0,0,0,0,0.68,0.69,0.67,0.58
4/25/25,WSH,NYM,5,4,9,1,1,0,2,0,2,1,0,0,0,0,0.33,0.64,0.6,0.55
4/25/25,STL,MIL,3,2,5,1,0,0,3,0,3,1,0,0,0,0,0.51,0.5,0.5,0.5
4/26/25,AZ,ATL,7,8,15,0,1,1,5,2,7,1,0,1,1,1,0.55,0.44,0.46,0.48
4/26/25,LAD,PIT,8,4,12,1,1,1,3,3,6,0,2,1,3,1,0.6,0.6,0.58,0.57
4/26/25,STL,MIL,6,5,11,1,1,1,5,2,7,1,0,0,0,0,0.55,0.4,0.43,0.46
4/26/25,MIN,LAA,5,1,6,1,0,1,4,1,5,1,3,0,3,1,0.5,0.52,0.52,0.52
4/26/25,WSH,NYM,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0.38,0.56,0.55,0.54
4/26/25,CHC,PHI,4,10,14,0,1,1,2,6,8,0,0,0,0,0,0.53,0.4,0.44,0.47
4/27/25,LAD,PIT,9,2,11,1,1,1,8,2,10,1,4,2,6,1,0.74,0.61,0.6,0.59
4/27/25,SF,TEX,3,2,5,1,0,0,2,2,4,0,1,2,3,1,0.48,0.41,0.43,0.46
4/27/25,KC,HOU,3,7,10,0,1,1,1,4,5,0,0,0,0,0,0.45,0.35,0.4,0.49
4/27/25,DET,BAL,7,0,7,1,0,0,3,0,3,1,0,0,0,0,0.74,0.26,0.32,0.42
