#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO,,,,
141,Andrew Painter,PHI,4,5,4.82,16,16,77,332,76,45,41,12,29,1,71,,,,
142,Braxton Garrett,MIA,2,3,4.11,10,10,49,207,48,24,22,6,15,4,43,,,,
143,José Suarez,ATH,3,3,4.06,17,7,54,233,51,27,24,6,22,2,52,,,,
144,Adrian Morejon,SDP,6,3,3.33,44,1,46,189,39,18,17,3,14,1,48,,,,
145,Ryne Nelson,ARI,4,4,4.17,20,16,96,404,93,48,44,14,27,3,81,,,,
146,Andrew Alvarez,WSN,3,4,4.45,15,13,68,299,71,37,34,8,26,3,55,,,,
147,Cade Povich,BAL,4,4,4.55,15,14,72,314,72,40,37,10,27,2,68,,,,
148,Mike Burrows,HOU,4,4,4.31,19,16,82,349,77,43,39,13,28,3,80,,,,
149,Anthony Kay,CHW,3,6,4.78,16,14,81,357,84,47,43,12,32,6,67,,,,
150,Reynaldo López,ATL,4,3,3.86,22,10,65,276,59,30,28,8,24,1,66,,,,
151,J.T. Ginn,ATH,3,4,4.64,17,14,72,311,69,40,37,10,29,6,69,,,,
152,Tanner Gordon,COL,3,5,5.18,15,12,71,307,81,44,41,13,16,1,55,,,,
153,Aaron Ashby,MIL,5,4,3.66,32,5,59,255,50,26,24,4,30,4,66,,,,
154,Brandon Sproat,MIL,4,5,4.62,19,17,85,366,79,47,43,11,36,6,79,,,,
155,Zach Eflin,BAL,4,4,4.26,12,12,65,270,67,33,30,10,12,1,52,,,,
156,Roki Sasaki,LAD,3,4,4.54,15,12,64,274,60,35,32,10,24,5,71,,,,
157,Mitchell Parker,WSN,5,7,4.76,19,13,83,361,86,48,44,10,30,2,63,,,,
158,Keider Montero,DET,4,5,4.56,19,15,84,363,86,46,42,12,28,4,67,,,,
159,Troy Melton,DET,3,3,4.26,16,11,57,242,56,29,27,8,17,1,49,,,,
160,Didier Fuentes,ATL,4,4,4.11,16,12,55,234,52,27,25,7,18,4,56,,,,
161,Aroldis Chapman,BOS,3,1,2.75,38,0,33,138,24,11,10,2,15,1,48,,,,
162,Kodai Senga,NYM,5,4,4.03,15,15,75,322,66,36,33,10,35,2,75,,,,
163,Connor Prielipp,MIN,3,3,4.27,15,15,54,234,53,28,25,7,21,4,52,,,,
164,David Bednar,NYY,4,2,3.32,41,0,42,172,33,17,15,4,14,1,51,,,,
165,Martín Pérez,ATL,4,4,4.18,16,13,72,315,74,37,34,9,26,3,58,,,,
166,Ryan Weiss,HOU,4,6,4.62,17,13,80,349,76,45,41,13,34,5,81,,,,
167,Jacob Lopez,ATH,4,6,4.74,17,13,74,323,69,42,39,12,34,4,74,,,,
168,Slade Cecconi,CLE,4,6,4.44,17,15,86,364,86,46,42,14,23,4,72,,,,
169,Chase Dollander,COL,3,6,5.05,16,13,72,316,72,44,40,10,31,6,67,,,,
170,Kendry Rojas,MIN,2,3,4.46,14,12,49,217,49,27,25,5,21,3,45,,,,
171,Brant Hurter,DET,4,3,3.97,27,7,56,236,53,27,25,6,18,5,49,,,,
172,Tobias Myers,NYM,3,4,4.48,22,11,69,298,71,37,34,10,21,2,57,,,,
173,Coleman Crow,MIL,2,2,4.05,11,10,50,210,48,24,22,6,14,4,42,,,,
174,Spencer Arrighetti,HOU,5,5,4.22,13,12,64,280,56,33,30,8,33,5,67,,,,
175,Brent Headrick,NYY,3,2,3.98,26,4,44,182,39,21,19,5,13,2,47,,,,
176,Kyle Freeland,COL,4,8,5.23,17,17,86,381,101,55,50,15,24,4,67,,,,
177,Alex Vesia,LAD,3,2,3.22,44,0,38,159,28,15,14,4,16,2,50,,,,
178,Colin Rea,CHC,5,6,4.54,18,15,90,384,91,49,45,13,26,4,70,,,,
179,Mason Montgomery,PIT,2,2,3.89,32,7,51,217,46,24,22,6,20,2,57,,,,
180,Blade Tidwell,SFG,3,4,4.3,15,9,58,254,58,30,28,7,24,3,52,,,,
181,Tanner Scott,LAD,3,2,3.23,42,0,40,165,32,16,14,4,13,2,47,,,,
182,Elmer Rodríguez,NYY,4,5,4.67,14,14,71,311,69,40,37,9,31,3,60,,,,
183,Alan Rangel,PHI,2,3,5.04,13,11,60,259,62,36,33,9,20,1,50,,,,
184,Jeremiah Estrada,SDP,3,2,3.39,43,0,42,175,32,17,16,5,18,1,59,,,,
185,Trevor Megill,MIL,3,1,2.88,35,1,33,134,26,11,10,3,11,1,41,,,,
186,Steven Matz,TBR,3,3,4.29,23,7,52,225,54,27,25,7,17,1,47,,,,
187,Justin Verlander,DET,3,5,4.76,13,13,71,306,72,41,37,11,25,3,59,,,,
188,Shane Drohan,MIL,4,3,4.06,15,10,52,221,47,25,23,6,21,2,50,,,,
189,Zack Littell,WSN,4,7,4.83,19,16,98,420,108,57,53,18,22,3,71,,,,
190,Robert Gasser,MIL,3,3,4.32,11,9,46,194,43,24,22,6,16,5,44,,,,
191,Tyler Mahle,SFG,4,4,4.21,14,14,68,289,64,34,32,9,24,1,59,,,,
192,Patrick Corbin,TOR,3,6,5.41,16,16,81,363,95,53,49,12,28,3,65,,,,
193,Mason Barnett,ATH,2,3,4.78,14,13,68,298,67,39,36,9,30,4,58,,,,
194,Randy Vásquez,SDP,4,6,4.65,18,17,89,384,90,50,46,12,30,6,64,,,,
195,Jakob Junis,TEX,2,2,3.94,29,3,46,190,43,22,20,4,11,3,37,,,,
196,Johan Oviedo,BOS,3,3,4.46,12,11,53,228,49,28,26,7,22,4,51,,,,
197,José A. Ferrer,SEA,3,1,3.36,43,0,46,191,41,19,17,3,12,3,44,,,,
198,Tyler Wells,BAL,2,3,4.32,17,8,50,207,46,26,24,8,13,1,44,,,,
199,Sean Newcomb,CHW,2,2,3.88,29,2,51,220,50,24,22,5,18,4,47,,,,
200,Jordan Wicks,CHC,3,2,4.12,13,10,46,197,46,23,21,6,14,1,42,,,,
201,Will Dion,CLE,2,3,4.06,14,9,51,219,52,25,23,6,16,1,42,,,,
202,Aaron Civale,ATH,3,6,5.08,16,15,76,328,79,47,43,13,23,3,63,,,,
203,Jack Dreyer,LAD,2,2,3.95,38,2,43,179,36,20,19,5,15,1,45,,,,
204,Noah Schultz,CHW,3,5,4.89,15,15,62,276,61,37,34,7,30,7,55,,,,
205,Adrian Houser,SFG,4,5,4.46,17,15,86,373,91,46,42,10,29,4,58,,,,
206,Jeff Hoffman,TOR,5,3,3.18,42,0,43,174,32,16,15,5,15,3,55,,,,
207,Carlos Rodriguez,MIL,3,3,4.67,14,10,58,249,55,33,30,8,24,4,53,,,,
