#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
750,Josh Ekness,MIA,0,1,4.62,12,0,0,1,0,13,57,12,7,7,2,6,0,1,11
751,Corbin Martin,CHC,1,1,4.69,9,0,0,1,0,9.1,42,9,5,5,1,5,0,0,8
752,Sam Benschoter,CIN,1,1,4.76,6,0,0,0,0,7.2,33,8,4,4,1,2,0,0,5
753,Chris Devenski,PIT,0,1,4.6,13,0,0,1,1,14.1,61,14,8,7,2,5,0,1,12
754,Connor Seabold,TOR,1,1,4.8,17,0,0,0,0,19.1,83,20,11,10,3,6,0,1,16
755,Alek Jacob,SDP,1,1,4.64,26,0,0,2,1,29,126,28,16,15,4,12,0,2,25
756,Génesis Cabrera,KCR,1,1,4.61,19,0,0,1,1,20,87,19,11,10,3,9,1,1,18
757,Jack Neely,CHC,1,0,4.61,13,0,0,1,0,13.2,59,12,8,7,2,7,0,1,13
758,Jorge López,,1,1,4.67,25,0,0,2,2,25.2,111,25,15,13,3,9,0,2,21
759,Kevin Herget,NYM,0,0,4.05,3,0,0,0,0,5.1,23,5,3,2,1,2,0,0,4
760,Colin Poche,,1,1,4.69,16,0,0,1,0,15.1,67,14,9,8,2,7,0,0,14
761,Karson Milbrandt,MIA,0,1,4.66,11,0,0,1,0,11,49,11,6,6,1,5,0,1,9
762,Brandyn Garcia,ARI,2,2,4.22,31,0,0,2,0,33,146,32,17,16,3,16,0,3,29
763,Andrew Hoffmann,ARI,3,3,4.28,46,0,0,7,6,50.1,217,49,26,24,6,20,1,2,46
764,Eduarniel Núñez,BAL,2,2,4.49,33,0,0,1,0,35.2,158,32,19,18,4,20,1,3,35
765,Scott Blewett,STL,1,1,4.52,17,0,0,1,0,20,86,20,11,10,3,7,0,1,15
766,Rafael Montero,NYY,1,1,4.41,31,0,0,2,1,31.1,136,29,17,15,4,15,1,1,29
767,Tyler Ferguson,CHC,2,2,4.33,41,0,0,6,2,43.2,190,38,23,21,5,22,1,3,43
768,Tyson Miller,,0,0,5.03,6,0,0,0,0,6.1,28,6,4,3,1,3,0,0,5
769,Ky Bush,CHW,1,2,4.77,8,2,0,0,0,16,72,15,9,8,2,9,0,1,12
770,Joe Ross,TEX,1,1,4.45,19,0,0,1,1,22,95,22,12,11,3,8,0,1,18
771,Zach Brzykcy,MIA,0,0,4.93,8,0,0,0,0,8,36,8,5,4,1,4,0,0,7
772,Dale Stanavich,SFG,0,0,4.57,6,0,0,1,0,6,27,6,3,3,1,4,0,0,5
773,Joe La Sorsa,BOS,0,0,4.65,7,0,0,0,0,7.2,33,8,4,4,1,3,0,0,5
774,Josh Simpson,SEA,1,1,4.25,22,0,0,2,1,22.1,98,20,12,11,2,12,1,1,22
775,Randy Dobnak,SEA,0,1,4.23,8,0,0,1,0,11.1,50,11,6,5,1,5,0,1,9
776,Enmanuel De Jesus,DET,1,1,4.62,30,0,0,1,0,31.1,137,31,17,16,4,13,1,2,25
777,Sam Bachman,LAA,2,4,4.47,42,0,1,5,3,44.2,197,43,24,22,5,21,1,3,38
778,Luis Mey,CIN,2,2,4.61,29,0,0,2,2,29.2,133,27,17,15,4,18,1,2,27
779,Prelander Berroa,CHW,1,2,4.43,27,0,0,1,0,28.1,125,25,15,14,4,16,1,1,29
780,Cameron Foster,BAL,2,1,4.53,21,0,0,1,0,22.1,96,22,12,11,3,9,1,1,19
781,Austin Love,STL,1,1,4.6,17,0,0,1,0,18,79,18,10,9,2,8,0,1,15
782,Ryder Ryan,LAD,1,1,4.86,7,0,0,1,0,7.2,35,8,5,4,1,3,0,1,6
783,Jayden Murray,HOU,1,1,4.44,24,0,0,2,0,26,113,25,14,13,3,11,0,2,22
784,William Kempner,MIA,1,2,4.71,18,0,0,1,0,19,84,18,11,10,2,10,0,1,18
785,Gavin Collyer,TEX,1,1,4.92,14,0,0,1,0,15.1,68,14,9,8,2,8,0,1,15
786,Isaiah Campbell,ARI,1,2,4.91,15,0,0,0,1,17.2,78,19,11,10,2,7,0,1,13
787,Rolddy Muñoz,ATL,1,1,4.56,14,0,0,1,0,15.2,70,15,9,8,2,8,0,1,14
788,Samy Natera Jr.,LAA,1,1,4.76,18,0,0,1,0,18.1,81,17,11,10,3,10,0,1,19
789,Seth Johnson,PHI,1,1,4.88,15,0,0,1,0,17.2,78,17,10,10,2,8,0,0,16
790,Robinson Ortiz,SEA,1,2,4.16,23,0,0,1,0,24,104,21,12,11,3,12,1,1,22
791,Peyton Pallette,CHW,2,2,4.47,39,0,0,4,1,41.2,180,39,22,21,6,18,1,2,39
792,Ryan Harbin,PIT,1,1,4.58,19,0,0,1,0,20.1,92,20,11,10,2,12,1,1,19
793,Triston McKenzie,SDP,1,1,4.79,8,0,0,0,0,9,39,8,5,5,2,4,0,0,9
794,George Soriano,STL,2,2,4.53,36,0,0,4,1,42,182,40,23,21,6,17,1,3,38
795,Michael Tonkin,MIN,1,1,4.6,23,0,0,1,1,27.1,116,25,15,14,4,10,0,2,25
796,Alexis Díaz,TEX,1,1,4.78,28,0,1,2,0,29,128,25,17,15,4,15,1,3,29
797,Ryan Loutos,SEA,1,1,4.49,15,0,0,1,0,15.1,67,15,8,8,2,7,0,1,13
798,Bailey Horn,DET,2,2,4.33,30,0,0,3,1,31.1,137,30,16,15,4,15,1,1,28
799,Blas Castaño,COL,0,0,4.45,8,0,0,1,0,9.2,42,10,5,5,1,4,0,1,7
800,Joey Estes,ATH,1,2,5,20,1,0,1,0,26.2,113,27,16,15,5,7,1,2,21
801,Garrett Acton,MIN,1,1,4.54,20,0,0,1,0,20.1,87,19,11,10,3,9,1,1,19
802,Ryan Rolison,CHC,1,1,4.65,20,1,0,1,0,23.2,103,24,13,12,3,9,0,1,18
803,Bradley Blalock,MIA,1,1,5.1,13,1,0,1,0,16.1,73,18,10,9,2,7,0,1,12
804,Nick Hernandez,ATH,0,0,5.44,10,0,0,0,0,12,54,13,8,7,2,6,0,1,13
805,Kyle Keller,BOS,1,1,5.05,16,0,0,1,0,16.1,72,16,10,9,3,8,0,1,16
806,Jairo Iriarte,CHW,0,1,4.43,12,0,0,1,0,12.2,56,11,7,6,2,7,0,1,11
807,Bobby Miller,LAD,1,1,4.82,15,0,0,1,0,19.1,84,18,11,10,3,9,1,1,18
808,Troy Taylor,SEA,1,1,4.44,21,0,0,1,0,21.1,93,20,11,10,3,10,0,1,19
809,Shaun Anderson,LAA,1,1,5.08,12,0,0,1,0,14.1,63,16,9,8,2,4,0,0,10
810,Logan Gillaspie,SDP,1,1,4.61,14,0,0,0,0,16.2,73,17,9,9,2,6,0,1,13
811,Nick Anderson,,2,2,4.64,33,0,0,3,1,34.1,149,34,19,18,5,13,1,1,30
812,Anthony Molina,ATL,1,0,5.22,10,0,0,0,0,16.2,73,18,10,10,2,5,0,1,13
813,Miguel Castro,,1,1,4.81,17,0,0,1,1,18,79,16,10,10,2,8,0,2,15
814,Jackson Kowar,BAL,1,1,4.76,24,0,0,1,0,26,114,25,15,14,4,12,0,2,23
815,Zach Maxwell,CIN,1,2,4.59,35,0,0,2,0,37,162,34,21,19,6,19,0,1,37
816,Connor Brogdon,CLE,3,3,4.69,44,0,0,5,1,47,202,44,27,25,8,19,1,2,46
817,Paul Gervase,LAD,1,1,4.59,20,0,0,1,1,22,95,19,12,11,3,11,0,1,22
818,Steven Wilson,TBR,2,2,4.63,43,0,0,6,2,43.1,185,39,24,22,7,19,1,2,41
819,Cam Sanders,PIT,2,2,4.74,31,0,0,2,0,33.2,151,31,19,18,4,19,1,2,32
820,Yovanny Cruz,NYY,1,1,4.98,12,0,0,1,0,12.2,57,12,8,7,2,7,0,1,12
821,Lyon Richardson,CIN,1,1,4.88,18,0,0,1,0,22.1,100,22,13,12,3,11,1,1,19
822,Tyler Zuber,MIA,1,1,5.35,16,0,0,2,0,20,88,19,13,12,3,10,1,1,20
823,Logan VanWey,HOU,0,1,4.93,15,0,0,2,2,18.2,85,19,11,10,2,11,0,1,17
824,Andry Lara,WSN,0,0,4.93,17,0,0,0,0,25.1,113,27,15,14,3,11,0,1,20
825,Carter Baumler,TEX,2,2,4.64,38,0,0,5,1,41.1,182,40,23,21,5,20,1,2,36
826,Ty Adcock,SDP,1,1,4.46,20,0,0,1,0,21.2,93,21,12,11,4,8,0,1,20
