#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO
377,Gordon Graceffo,STL,2,2,4.26,36,0,36,156,37,18,17,4,12,1,27
378,Jonathan Bowlan,PHI,2,2,3.73,36,0,36,152,33,16,15,4,12,1,34
379,Steven Cruz,KCR,2,2,4.19,36,0,36,156,33,18,17,4,17,2,36
380,Josh Hader,HOU,2,2,3.26,36,0,36,148,26,14,13,4,14,2,49
381,AJ Blubaugh,HOU,2,2,4.39,36,0,36,155,34,19,18,5,16,1,33
382,Robert Gasser,MIL,2,2,4.12,16,4,36,153,34,18,16,5,12,2,34
383,Justin Steele,CHC,2,2,3.61,6,6,36,149,33,16,14,4,11,1,34
384,Cameron Weston,BAL,2,2,4.2,31,1,35.2,155,34,18,17,4,15,2,33
385,Kendry Rojas,MIN,2,2,4.11,26,2,35.2,156,34,18,16,4,15,2,32
386,Taijuan Walker,LAA,2,2,4.75,17,4,35.2,157,38,20,19,5,13,2,26
387,Enmanuel De Jesus,DET,2,2,4.1,36,0,35.2,156,34,18,16,4,16,2,31
388,Jack Perkins,ATH,2,2,3.75,35,0,35.1,151,31,16,15,4,15,2,37
389,Peyton Gray,TEX,2,2,4,35,0,35.1,151,33,17,16,4,14,1,33
390,Edgardo Henriquez,LAD,2,2,4.06,35,0,35.1,153,31,17,16,4,17,2,36
391,Austin Warren,NYM,2,2,3.94,35,0,35.1,152,33,17,15,4,14,2,34
392,JT Brubaker,SFG,2,2,4.3,35,0,35.1,155,36,18,17,4,15,2,29
393,Tyron Guerrero,BOS,2,2,4.1,35,0,35,152,34,17,16,4,15,2,32
394,Drew Pomeranz,LAA,2,2,3.91,35,0,35,149,31,16,15,5,14,2,36
395,Jimmy Herget,COL,2,2,4.7,35,0,35,152,36,19,18,5,12,2,32
396,Kody Funderburk,MIN,2,2,3.82,35,0,35,153,33,16,15,3,17,2,33
397,Lake Bachar,MIA,2,2,4.08,35,0,35,151,32,17,16,5,15,1,35
398,Casey Legumina,TBR,2,2,4.32,35,0,35,152,34,18,17,4,15,2,31
399,Jake Woodford,MIL,2,2,4.25,35,0,35,151,36,18,17,5,11,2,28
400,Mason Barnett,ATH,2,2,4.71,20,3,34.2,153,35,20,18,5,16,2,28
401,Paul Blackburn,NYY,2,2,3.9,35,0,34.2,148,34,16,15,4,10,1,30
402,Erik Sabrowski,CLE,2,2,3.5,35,0,34.2,149,26,15,13,4,20,1,46
403,Matt Pushard,STL,2,2,4.33,35,0,34.2,151,34,18,17,4,14,2,29
404,Brandyn Garcia,ARI,2,2,3.8,34,0,34.1,150,33,16,15,3,16,2,32
405,Jose Quintana,COL,2,3,5.5,6,6,34,155,41,22,21,5,14,1,23
406,Tanner Banks,PHI,2,2,3.76,34,0,34,144,31,15,14,4,12,1,33
407,Brandon Eisert,CHW,2,2,3.96,34,0,34,146,32,16,15,4,14,2,31
408,Ryan Borucki,SFG,2,2,3.84,34,0,34,147,32,16,15,3,15,2,31
409,Ryan Yarbrough,NYY,2,2,4.16,34,0,34,147,34,17,16,5,11,2,28
410,Mason Black,KCR,2,2,4.6,34,0,34,149,35,19,17,5,14,2,28
411,Ricky Vanasco,DET,2,2,4,34,0,33.2,147,30,16,15,4,17,1,34
412,Alex Hoppe,SEA,2,2,3.87,34,0,33.2,147,32,16,14,3,16,1,30
413,Keegan Thompson,COL,1,2,5,34,0,33.2,150,36,20,19,5,14,2,28
414,Cade Gibson,MIA,2,2,4.05,34,0,33.2,148,34,17,15,3,14,3,27
415,Connor Seabold,TOR,2,2,4.43,34,0,33.2,146,34,18,17,5,11,2,29
416,Caleb Ferguson,CIN,2,2,4.03,34,0,33.2,146,32,16,15,4,15,2,32
417,Steven Okert,HOU,2,2,3.99,33,0,33.1,142,29,16,15,5,14,2,36
418,Matt Festa,CLE,2,2,4.13,33,0,33.1,143,31,16,15,4,13,2,33
419,Ryan Fernandez,STL,2,2,3.7,33,0,33.1,142,29,15,14,3,15,1,35
420,Travis Adams,MIN,2,2,4.38,28,1,33,144,34,17,16,4,12,1,27
421,Yuki Matsui,SDP,2,2,4.02,33,0,33,142,29,16,15,4,15,1,34
422,Patrick Sandoval,BOS,2,2,3.82,19,3,33,141,31,15,14,3,14,1,31
423,Jack Dreyer,LAD,2,1,3.87,33,0,32.2,140,29,15,14,4,13,1,33
424,Jake Bird,NYY,2,2,3.73,33,0,32.2,141,29,15,14,3,14,2,34
425,Elvis Alvarado,ATH,2,2,4.51,33,0,32.2,145,31,18,16,4,18,2,32
426,Gavin Collyer,TEX,1,2,4.55,33,0,32.2,147,30,18,17,4,20,2,31
427,Ryan Helsley,BAL,2,1,3.36,32,0,32.1,136,26,13,12,3,14,1,39
428,Jason Foley,SFG,2,2,3.73,32,0,32.1,138,32,15,13,3,11,1,27
429,Kenley Jansen,DET,2,2,4.01,32,0,32.1,138,28,15,14,4,13,1,35
430,Yariel Rodríguez,TOR,2,2,3.85,32,0,32.1,140,28,15,14,4,15,2,35
431,Welinton Herrera,COL,2,2,4.22,32,0,32.1,142,32,16,15,3,15,2,32
432,Grant Wolfram,BAL,2,2,3.91,32,0,32.1,140,31,15,14,4,13,2,31
433,Mitch Farris,LAA,2,2,3.9,32,0,32.1,139,30,15,14,4,13,1,32
434,John Klein,MIN,2,2,4.02,32,0,32.1,139,31,16,14,4,11,2,31
435,Hayden Harris,ATL,2,2,4.03,32,0,32.1,142,29,16,15,4,17,2,34
436,Brandan Bidois,PIT,1,2,4.66,32,0,32.1,144,31,18,17,4,17,1,31
437,Trent Thornton,CHC,2,2,4.36,32,0,32.1,140,32,17,16,4,12,1,27
438,Cody Bradford,TEX,2,2,4.13,18,3,32.1,137,32,16,15,5,9,1,28
439,Jared Koenig,MIL,2,2,3.52,32,0,32.1,137,28,14,13,3,13,2,34
440,Cole Sulser,TBR,2,2,4.14,32,0,32.1,139,31,16,15,4,13,1,28
441,Jake Bennett,BOS,2,2,4.22,12,4,32,138,34,16,15,4,11,1,23
442,Alimber Santa,HOU,2,2,4.31,32,0,32,142,30,17,15,4,18,2,30
443,Alan Rangel,PHI,2,2,4.64,12,4,32,138,32,18,17,5,11,1,26
444,A.J. Puk,ARI,2,1,3.46,32,0,31.2,133,27,13,12,3,12,2,36
445,Emilio Pagán,CIN,2,2,4.33,32,0,31.2,135,29,16,15,5,12,1,34
446,David Morgan,SDP,2,2,4.03,32,0,31.2,138,29,15,14,4,15,2,30
447,Jonathan Pintaro,NYM,2,1,3.65,31,0,31.1,135,28,14,13,3,14,2,32
448,Chase Shugart,PHI,2,2,4.29,31,0,31.1,136,31,16,15,4,12,1,27
449,Cole Winn,TEX,1,2,4.22,31,0,31.1,137,30,16,15,4,14,2,29
450,David Festa,MIN,2,2,3.8,17,3,31.1,133,28,14,13,4,11,1,33
451,Spencer Schwellenbach,ATL,2,2,3.57,5,5,31,129,29,13,12,4,8,1,30
452,Paxton Schultz,WSN,1,2,4.25,31,0,31,134,30,16,15,4,12,1,28
453,Adam Macko,TOR,2,2,4,31,0,31,135,29,15,14,4,13,2,29
454,Ethan Roberts,CHC,1,2,4.31,31,0,31,136,30,16,15,4,14,2,28
455,Nick Davila,SEA,1,2,4.18,31,0,31,135,31,16,14,4,12,1,23
456,Codi Heuer,CLE,1,2,4.06,31,0,30.2,134,29,15,14,4,13,1,29
457,Ryan Watson,BOS,1,2,4.38,30,0,30.1,132,30,16,15,4,12,1,26
