Player_ID,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
267,Ty France,SDP,87,288,319,72,49,14,1,8,33,37,18,1,59,11,2,0,1,0,0.25
268,Daylen Lile,WSN,96,363,398,95,61,19,6,8,51,46,27,0,74,4,3,1,9,4,0.261
269,Victor Scott II,STL,96,303,347,66,50,10,2,5,40,27,27,0,76,6,2,9,23,6,0.219
270,Sam Huff,BAL,51,179,196,40,25,8,1,6,19,21,15,1,68,1,1,0,0,0,0.223
271,Jake Burger,TEX,91,327,354,79,45,16,1,18,41,55,20,1,91,5,2,0,1,1,0.241
272,Javier Sanoja,MIA,91,292,316,75,52,16,3,4,31,36,19,0,31,1,2,2,7,5,0.259
273,Austin Hedges,CLE,48,114,132,23,17,4,0,3,12,9,12,0,33,1,1,3,1,1,0.205
274,Chandler Simpson,TBR,95,374,404,107,94,10,4,0,53,30,21,0,41,0,3,6,36,9,0.287
275,Eli White,ATL,67,177,193,43,31,6,1,5,27,23,11,1,51,3,1,1,7,1,0.245
276,Troy Johnston,COL,86,304,336,84,56,18,3,7,38,43,24,1,67,6,2,0,9,3,0.276
277,TJ Friedl,CIN,96,339,393,79,56,13,2,8,43,37,39,0,71,9,2,4,9,2,0.232
278,Taylor Trammell,HOU,59,177,204,40,23,10,1,7,26,26,24,0,58,2,1,0,5,2,0.228
279,Jake Rogers,DET,54,152,170,31,19,7,1,4,20,20,14,0,51,2,2,1,0,0,0.202
280,Jonah Heim,ATH,73,239,261,54,37,10,1,7,25,30,19,0,49,1,2,0,1,0,0.226
281,Liam Hicks,MIA,79,253,292,64,48,9,1,7,31,39,29,0,40,8,3,1,1,0,0.255
282,Agustín Ramírez,MIA,94,358,396,87,52,20,1,13,52,50,31,1,81,5,2,0,9,2,0.243
283,Logan O'Hoppe,LAA,77,261,291,60,40,7,1,11,30,34,23,0,79,4,2,1,2,1,0.228
284,Denzel Clarke,ATH,61,206,231,45,30,9,2,4,29,27,18,0,79,4,1,2,8,2,0.221
285,Andrew Vaughn,MIL,88,319,353,81,50,18,1,12,35,51,27,0,66,5,2,0,0,0,0.253
286,Weston Wilson,BAL,66,205,231,46,29,8,1,8,31,25,23,1,65,2,1,1,6,3,0.225
287,Alex Jackson,MIN,46,141,156,29,14,8,1,6,19,18,11,0,50,3,1,0,1,0,0.206
288,Justin Foscue,TEX,66,248,278,58,34,15,1,8,33,35,24,0,49,4,2,1,3,1,0.232
289,Nolan Schanuel,LAA,95,343,393,89,64,17,1,8,45,41,39,1,57,6,3,2,3,1,0.259
290,Jared Oliva,SFG,58,183,202,43,30,8,2,4,29,23,12,0,45,4,1,2,16,2,0.237
291,Rodolfo Durán,SDP,50,176,193,40,25,8,1,6,22,23,12,0,47,2,1,2,1,0,0.226
292,Cedric Mullins,TBR,90,306,343,66,42,13,2,10,40,38,29,0,74,4,2,2,16,4,0.216
293,Jared Young,NYM,62,205,233,50,31,10,1,8,29,32,23,0,56,4,2,1,3,1,0.242
294,Jordan Walker,STL,96,347,383,86,54,17,1,14,44,49,30,1,103,4,2,0,7,3,0.248
295,Tyler Soderstrom,ATH,101,356,397,87,50,20,2,15,44,58,34,2,89,4,2,0,3,2,0.243
296,Lourdes Gurriel Jr.,ARI,80,304,330,80,54,16,1,9,34,42,20,1,54,3,3,0,4,1,0.263
297,Braxton Fulford,COL,51,165,185,39,25,8,1,5,24,24,13,0,50,5,1,1,3,1,0.235
298,Nick Sogard,BOS,72,248,284,61,44,13,1,3,35,26,31,0,57,2,2,1,6,2,0.246
299,Jose Siri,LAA,62,181,198,37,21,8,1,8,27,24,13,0,73,2,1,1,7,2,0.202
300,Nick Loftin,KCR,70,228,262,55,37,13,1,5,31,31,27,0,40,4,2,1,4,2,0.241
301,Kerry Carpenter,DET,85,277,305,69,41,11,2,15,36,49,21,1,78,4,2,0,1,1,0.248
302,Mauricio Dubón,ATL,91,277,297,72,50,16,1,4,34,32,16,0,40,2,1,1,2,1,0.258
303,Ramón Urías,STL,71,210,233,49,32,10,1,6,25,24,18,0,51,4,2,0,2,0,0.235
304,Kyle Higashioka,TEX,59,174,188,39,25,7,1,7,18,24,12,0,49,1,1,1,1,1,0.226
305,Masataka Yoshida,BOS,70,237,265,66,45,14,1,6,27,31,21,1,32,5,2,0,3,0,0.277
306,Michael Helman,TEX,57,200,219,44,27,10,1,6,30,26,13,0,51,3,1,1,6,1,0.221
307,Alek Thomas,LAD,87,278,301,66,42,15,2,7,37,32,16,0,68,3,2,3,6,2,0.238
308,Tyler Tolbert,KCR,71,219,246,50,36,9,3,3,33,23,14,0,65,4,1,7,20,3,0.231
309,Marcell Ozuna,PIT,93,331,382,79,50,15,0,14,40,43,47,1,93,2,2,0,0,0,0.239
310,Josh Lowe,LAA,83,280,307,68,43,14,2,10,35,36,22,1,86,1,2,1,11,2,0.242
311,Vaughn Grissom,LAA,72,267,298,66,46,13,1,6,35,31,24,0,52,5,2,0,5,1,0.247
312,Josh Bell,MIN,93,328,373,82,54,15,1,12,40,47,39,1,72,3,3,0,0,1,0.25
313,TJ Rumfield,COL,91,329,367,89,60,18,1,10,42,42,31,1,66,6,2,0,2,1,0.27
314,Nick Fortes,TBR,74,201,221,47,35,7,0,4,22,21,12,0,36,5,1,2,1,1,0.232
315,Griffin Conine,MIA,62,205,231,47,30,9,1,7,27,29,23,0,77,3,1,0,1,1,0.229
316,Ezequiel Duran,TEX,82,254,276,65,42,16,1,7,34,32,17,0,65,2,2,1,8,2,0.258
317,Alejandro Osuna,TEX,74,235,270,60,42,11,2,4,33,30,25,1,57,7,1,2,8,4,0.254
318,Ryan Bliss,SEA,65,242,269,52,34,11,1,5,33,28,22,0,73,3,2,1,14,7,0.214
319,Freddy Fermin,SDP,70,203,225,45,33,9,0,4,23,21,16,1,45,2,2,2,1,1,0.223
320,Austin Hays,CHW,71,244,265,62,38,14,2,9,35,33,17,1,67,2,2,0,3,1,0.254
