#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
627,Daysbel Hernández,ATL,1,1,4.67,22,0,0,0,,14.2,66,13,8,8,2,9,0,1,15
628,Luis Mey,CIN,1,1,4.47,20,0,0,0,,13.1,61,12,7,7,1,9,0,1,13
629,Shane Murphy,CHW,0,0,4.52,7,0,0,0,,5,22,5,3,3,1,2,0,0,4
630,Brady Basso,ATH,1,1,4.96,27,0,0,0,,19,83,20,11,10,3,7,1,1,16
631,Zak Kent,WSN,1,1,4.78,25,0,0,0,,16.2,74,17,10,9,2,8,1,1,13
632,Huascar Brazobán,NYM,2,1,4.57,40,0,1,9,,28,123,27,15,14,3,13,1,2,22
633,Beck Way,KCR,0,0,4.81,10,0,0,0,,6,27,5,3,3,1,4,0,1,6
634,Logan Gillaspie,SDP,0,0,4.91,12,0,0,0,,7.2,33,8,4,4,1,3,0,0,6
635,Doug Nikhazy,CHC,0,0,4.8,9,0,0,0,,6.1,28,6,4,3,1,4,0,0,6
636,Beau Brieske,DET,1,1,4.68,18,0,0,0,,12.1,54,12,7,6,2,6,0,0,10
637,Alexis Díaz,TEX,0,0,4.82,11,0,0,0,,5.2,26,5,3,3,1,3,0,1,5
638,Dietrich Enns,BAL,0,0,5.11,8,0,0,0,,5.2,25,6,3,3,1,3,0,0,5
639,Pedro Avila,CLE,0,1,4.94,14,0,0,0,,9.1,42,10,6,5,1,5,0,1,8
640,TJ Shook,COL,0,0,5.59,8,0,0,0,,6,27,6,4,4,1,3,0,0,6
641,Chris Roycroft,STL,1,1,4.99,27,0,0,0,,21,95,22,12,12,2,11,1,1,15
642,PJ Poulin,WSN,1,1,4.7,30,0,0,0,,20.1,89,19,11,11,2,9,1,2,17
643,Chase Solesky,TBR,1,1,5.22,19,1,0,0,,24.1,108,25,15,14,4,10,1,1,20
644,Julian Aguiar,CIN,1,1,4.97,13,1,0,0,,16.1,71,17,10,9,3,6,0,1,12
645,Carlos Estévez,KCR,1,1,4.93,22,0,3,0,,14.2,64,15,9,8,2,6,0,1,11
646,Pierce Johnson,CIN,1,1,4.77,40,0,2,8,,28,122,27,16,15,4,12,1,1,27
647,Chase Shugart,PHI,1,1,4.83,31,0,0,3,,24,106,24,14,13,3,10,1,1,20
648,Jack Anderson,BOS,1,1,4.9,19,0,0,0,,13.1,58,14,8,7,2,4,0,1,11
649,Elvis Alvarado,ATH,1,1,5.04,33,0,0,3,,23.1,105,22,14,13,3,12,1,2,23
650,Tyler Gilbert,CHW,1,1,4.84,17,0,0,0,,11.2,52,12,7,6,2,5,0,1,10
651,Taylor Rashi,ARI,1,1,4.8,22,0,0,0,,16,71,15,9,9,2,8,1,0,15
652,Mason Black,KCR,1,1,4.98,34,0,0,5,,23.1,104,23,14,13,3,11,1,1,19
653,Brooks Kriske,ATH,0,0,5.04,14,0,0,0,,9.1,41,8,6,5,1,6,0,0,10
654,Duncan Davitt,CHW,1,1,4.9,16,0,0,0,,11,48,11,6,6,2,4,0,1,10
655,Ben Joyce,LAA,1,1,4.9,24,0,5,0,,17.2,79,18,10,10,2,8,0,1,14
656,Alex Lange,KCR,1,1,4.91,37,0,1,8,,25.1,114,24,15,14,3,15,0,2,25
657,Danny Coulombe,BOS,1,1,4.61,40,0,0,8,,28.1,123,27,16,15,4,10,1,3,23
658,Valente Bellozo,COL,0,0,5.46,10,0,0,0,,7.1,33,8,5,4,1,3,0,0,5
659,Tyler Schweitzer,CHW,1,1,4.62,22,0,0,0,,15.1,67,15,9,8,2,6,0,1,12
660,Connor Phillips,CIN,1,1,4.77,30,0,0,0,,20.2,93,18,12,11,3,13,1,2,21
661,Misael Tamarez,SDP,0,0,5.01,7,0,0,0,,5,22,4,3,3,1,3,0,0,4
662,Chayce McDermott,LAD,0,0,5,12,0,0,0,,7.2,35,7,5,4,1,5,0,0,8
663,Chris Murphy,CHW,1,1,4.6,24,0,0,0,,17,74,15,9,9,2,8,1,1,15
664,Bradley Blalock,MIA,1,1,5.07,16,0,0,0,,11.2,52,12,7,7,2,5,1,0,9
665,Jake Eder,LAD,0,0,5.28,9,0,0,0,,6,27,6,4,3,1,3,0,0,5
666,Greg Weissert,BOS,1,1,4.68,41,0,1,9,,29,127,29,16,15,4,12,1,1,23
667,Bailey Falter,KCR,1,1,5.28,14,1,0,0,,17,75,18,11,10,3,7,0,1,12
668,Michael Petersen,MIA,1,1,4.93,40,0,1,10,,28.2,129,27,17,16,4,16,1,2,27
669,Victor Mederos,ATL,0,0,5.2,13,0,0,0,,8.2,39,9,5,5,1,5,0,1,7
670,Yilber Díaz,ARI,0,0,5.17,13,0,0,0,,9.2,45,9,6,6,1,6,0,0,9
671,Josh Staumont,CIN,0,0,5.16,9,0,0,0,,6.2,29,6,4,4,1,4,0,0,6
672,Trent Thornton,CHC,1,1,4.8,33,0,0,4,,22.2,99,23,13,12,3,8,0,1,17
