#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
290,Janson Junk,MIA,7,7,4.35,26,20,122,517,130,64,59,16,25,0,4,89
291,Logan Henderson,MIL,8,7,4.12,21,20,94,391,83,46,43,14,29,0,3,96
292,Andrew Morris,MIN,6,5,4.15,22,20,99.2,427,102,50,46,12,28,0,3,79
293,Troy Melton,DET,5,5,4.19,29,20,105.1,445,103,53,49,15,31,1,2,92
294,Johan Oviedo,BOS,6,5,4.23,22,20,95.2,413,87,49,45,12,41,0,7,93
295,AJ Smith-Shawver,ATL,5,5,3.9,20,20,80.2,351,74,38,35,10,32,0,2,88
296,Anthony Kay,CHW,5,8,4.63,22,20,116.2,507,118,65,60,17,44,2,4,99
297,Aaron Civale,ATH,5,7,4.7,23,20,105.1,449,104,59,55,17,32,1,5,92
298,J.T. Ginn,ATH,5,6,4.54,24,20,101,440,96,55,51,14,38,1,9,98
299,TJ Nichols,TBR,6,9,4.66,22,20,106.1,455,107,59,55,16,30,0,6,86
300,Tobias Myers,NYM,6,6,4.39,29,20,110.2,477,112,58,54,15,36,0,4,91
301,Hayden Birdsong,SFG,5,7,4.6,27,20,103.2,455,94,57,53,13,50,0,8,102
302,AJ Blubaugh,HOU,7,8,4.41,29,20,116.1,502,109,62,57,17,49,0,4,105
303,Sean Boyle,SDP,7,8,4.55,24,20,112.2,489,112,62,57,15,36,0,11,89
304,Ryan Feltner,COL,4,6,5.21,20,20,95,425,98,59,55,13,44,0,4,80
305,DJ Herz,WSN,5,6,4.5,20,20,82,364,75,44,41,10,43,0,5,82
306,Gabe Mosser,SEA,5,7,4.67,21,20,104,455,108,58,54,14,36,0,4,80
307,Ben Kudrna,KCR,4,6,4.92,22,20,98.2,443,100,58,54,12,44,0,5,76
308,Joey Estes,ATH,5,9,5.01,21,20,102.1,441,106,62,57,17,29,1,8,70
309,CJ Van Eyk,TOR,6,7,4.79,24,20,103.1,461,108,59,55,13,39,0,8,70
310,Sean Sullivan,COL,5,9,5.27,20,20,97.1,421,104,62,57,17,29,0,5,71
311,Dax Fulton,MIA,6,8,4.68,21,20,98,442,99,55,51,12,48,1,6,80
312,Reid VanScoter,SEA,5,5,4.7,20,20,90,393,96,51,47,12,29,0,3,60
313,Griffin Canning,SDP,6,6,4.68,20,20,102,439,98,57,53,17,40,0,3,94
314,Walker Buehler,SDP,6,7,4.83,22,20,106.1,468,107,62,57,17,42,0,7,93
315,Levi Wells,BAL,3,5,4.78,23,20,86.2,383,89,50,46,12,34,0,5,66
316,Jose Corniell,TEX,3,3,4.66,21,20,56,236,52,31,29,9,18,0,3,52
317,Miguel Ullola,HOU,5,7,4.6,25,20,99.2,445,89,55,51,14,57,0,7,102
318,Victor Mederos,ATL,5,9,5.23,22,20,103.1,466,109,65,60,15,43,0,12,76
319,Jason Alexander,HOU,4,6,4.68,25,20,109.2,485,117,62,57,17,39,0,6,82
320,Marco Raya,MIN,4,5,4.94,27,20,93,420,93,55,51,12,46,0,7,78
321,Lael Lockhart,DET,5,7,4.99,24,20,93.2,419,94,56,52,13,45,0,5,77
322,Dakota Hudson,,5,8,5.35,23,20,117.2,529,133,76,70,16,44,0,7,67
323,Mike Clevinger,PIT,5,6,4.56,25,20,94.2,414,96,52,48,13,38,0,5,73
324,Taijuan Walker,LAA,5,8,5.13,28,20,114,500,122,70,65,19,42,0,5,79
325,Thaddeus Ward,,5,7,4.74,27,20,100.2,461,100,57,53,12,53,0,12,86
326,Brendan Girton,NYM,3,4,5.03,24,20,78.2,352,76,48,44,10,38,0,7,66
327,Yunior Tur,ATH,4,6,5.16,26,20,97.2,440,100,61,56,15,46,0,7,79
328,Joe Miller,DET,4,6,5.24,23,20,92.2,412,104,58,54,15,29,0,6,58
329,Tyler Ivey,,5,6,5.11,22,20,98.2,448,106,61,56,15,47,0,3,72
330,Connor Staine,COL,3,7,6.43,21,20,84,390,99,65,60,17,40,0,6,50
331,Kris Bubic,KCR,8,6,3.53,23,19,107,457,99,45,42,9,36,2,3,107
332,Gerrit Cole,NYY,7,5,3.91,19,19,115,472,101,54,50,16,33,0,4,110
333,Shane Bieber,TOR,6,5,3.66,19,19,103.1,425,97,45,42,13,24,0,2,93
334,Grayson Rodriguez,LAA,5,6,4.21,19,19,96.1,410,89,49,45,12,33,0,4,101
335,Jacob Lopez,ATH,7,7,3.98,25,19,106.1,452,92,51,47,14,42,0,7,116
336,Dietrich Enns,BAL,6,6,4.12,33,19,113.2,501,121,56,52,15,36,2,4,105
337,David Festa,MIN,5,6,4.22,21,19,91.2,391,86,46,43,12,32,0,4,93
338,Ian Seymour,TBR,7,8,4.23,29,19,121.1,506,111,62,57,18,35,1,8,117
339,Alex Cobb,,5,4,4.08,20,19,92.2,405,96,45,42,10,31,0,3,77
340,Dustin May,STL,7,8,4.07,21,19,115,481,102,56,52,13,40,2,9,101
341,Landen Roupp,SFG,6,6,3.81,23,19,99.1,427,92,45,42,10,39,0,3,95
342,Jared Jones,PIT,5,6,4.07,19,19,97.1,419,92,48,44,11,36,0,6,88
343,Ethan Pecko,HOU,7,7,3.9,25,19,92.1,395,87,43,40,12,33,0,1,88
344,Max Scherzer,TOR,5,5,4.16,19,19,95.1,394,88,48,44,16,27,0,4,91
345,Nestor Cortes,,6,6,4.19,20,19,101,421,94,51,47,16,31,0,3,94
346,Martín Pérez,ATL,6,5,4.19,22,19,107.1,466,110,54,50,13,39,0,4,82
347,Luis Gil,NYY,5,6,4.53,20,19,93.1,399,79,51,47,14,46,0,4,97
348,Yordanny Monegro,BOS,4,4,4.28,21,19,75.2,327,73,39,36,10,27,0,3,69
349,Tyson Hardin,MIL,5,5,4.52,19,19,83.2,358,81,45,42,12,25,0,3,71
350,R.J. Gordon,NYM,6,7,4.85,24,19,113.1,492,113,66,61,17,41,1,3,95
351,Yoendrys Gómez,MIN,5,5,4.4,30,19,94,403,84,50,46,14,39,0,7,93
352,Doug Nikhazy,CHC,5,6,4.55,22,19,89,400,86,49,45,11,48,0,3,80
353,Shane Murphy,CHW,4,8,4.86,23,19,103.2,442,114,61,56,18,23,0,1,68
354,Javier Assad,CHC,5,4,4.07,23,19,104,444,97,51,47,13,41,0,4,84
355,Khal Stephen,CLE,5,5,4.37,20,19,90.2,387,91,48,44,14,28,0,2,73
356,Josh Stephan,TEX,5,7,4.93,21,19,96.2,419,100,57,53,14,28,0,6,68
357,Carson Seymour,SFG,7,7,4.19,27,19,105.1,461,106,53,49,12,39,0,7,84
358,Chris Campos,LAD,5,7,5.14,23,19,103.1,448,110,64,59,18,29,0,3,80
359,Tink Hence,STL,3,3,4.41,19,19,65.1,285,62,35,32,8,28,0,1,60
360,Winston Santos,TEX,5,7,4.97,19,19,83.1,362,82,50,46,12,26,0,9,65
361,Ty Cummings,SEA,4,6,4.93,25,19,107.2,475,116,64,59,15,37,0,5,67
362,Hunter Owen,KCR,4,6,4.86,21,19,90.2,401,91,53,49,12,36,0,7,71
363,Luis De León,BAL,4,4,4.7,22,19,88,392,87,50,46,11,41,0,6,73
364,Trey Supak,TEX,5,7,5.04,23,19,98.1,424,100,59,55,16,29,0,7,75
365,Hayden Mullins,BOS,4,5,4.83,21,19,85.2,385,82,50,46,11,44,0,7,78
366,Ryan Webb,CLE,5,7,4.54,24,19,103,460,102,56,52,14,47,0,8,88
367,Trystan Vrieling,SFG,4,5,4.66,21,19,90.2,400,97,51,47,13,29,0,4,67
368,Jose Gonzalez,LAA,5,8,5.22,21,19,91.1,406,99,57,53,15,27,0,9,68
369,Andrew Sears,DET,5,7,5.1,23,19,95.1,425,96,58,54,14,38,0,10,76
370,Chase Chaney,NYY,5,7,5.2,24,19,107.1,472,119,67,62,17,31,0,6,60
371,Antonio Senzatela,COL,5,9,5.55,23,19,103.2,480,129,69,64,16,37,1,5,60
372,Jose Acuna,CIN,4,8,5.63,20,19,72,320,74,49,45,12,31,0,4,56
373,Henry Williams,KCR,4,7,5.23,20,19,96.1,431,101,61,56,14,39,0,7,67
374,Curtis Taylor,,5,6,4.81,27,19,103,452,105,59,55,15,40,1,8,79
375,Brett Kerry,LAA,5,8,5.5,22,19,108,471,118,71,66,20,34,0,4,75
376,Jackson Jobe,DET,3,5,4.94,20,19,78.1,342,78,46,43,12,37,0,2,58
377,Dylan File,DET,4,7,5.37,22,19,102.1,456,119,66,61,17,29,0,6,58
378,Peter Heubeck,LAD,3,5,5.53,19,19,73.1,332,71,49,45,11,42,0,5,63
379,Jackson Baumeister,TBR,2,4,5.3,19,19,73,323,75,46,43,12,31,0,5,54
380,Wilkel Hernandez,,4,5,5.21,28,19,96.2,432,105,61,56,15,37,0,6,64
381,Avery Short,ARI,5,6,4.78,20,19,92.1,413,102,53,49,13,34,0,6,56
382,Yoniel Curet,DET,4,6,5.76,20,19,75,342,72,52,48,12,39,0,13,69
383,Kenny Serwa,DET,5,9,5.46,23,19,97.1,443,108,64,59,13,40,0,10,51
384,Miguel Mendez,SDP,5,8,5.49,19,19,80.1,369,79,53,49,12,43,0,12,64
385,Frank Mozzicato,KCR,3,6,5.59,23,19,85.1,400,89,57,53,12,55,0,3,61
386,Tommy Mace,CLE,5,8,5.2,25,19,97,447,105,61,56,15,52,0,6,62
387,Nathan Eovaldi,TEX,6,6,3.92,18,18,105.2,436,96,50,46,14,29,1,4,95
388,Joey Cantillo,CLE,5,5,3.75,32,18,103.1,441,89,46,43,12,45,0,2,114
389,Braxton Garrett,MIA,5,4,3.94,18,18,91.1,385,88,43,40,11,23,0,7,79
390,Ty Johnson,TBR,6,6,4.18,25,18,94.2,402,84,48,44,12,33,0,9,94
391,Blade Tidwell,SFG,6,7,4.27,23,18,103.1,456,101,53,49,12,43,0,5,93
392,Jordan Wicks,CHC,5,4,4.02,25,18,85,361,82,41,38,11,26,0,2,76
393,Gavin Stone,LAD,5,5,4.66,19,18,92.2,400,92,52,48,13,32,0,2,81
394,Sean Manaea,NYM,5,5,4.51,22,18,101.2,428,94,55,51,16,31,0,6,104
395,Tyler Mahle,SFG,5,5,3.81,18,18,87.1,360,81,40,37,10,28,0,1,71
396,Eric Lauer,LAD,6,7,4.31,28,18,108.2,462,105,56,52,17,36,2,3,97
397,Tyler Uberstine,BOS,5,5,4.38,22,18,100.2,438,100,53,49,14,36,0,5,91
398,Carlos Rodriguez,MIL,5,6,4.57,23,18,102.1,445,95,56,52,14,42,0,7,93
399,Cristian Javier,HOU,5,6,4.29,19,18,92.1,390,79,48,44,13,42,0,3,90
400,Kutter Crawford,BOS,6,7,4.47,21,18,104.2,438,100,56,52,16,32,0,4,90
401,Ryan Gusto,MIA,6,7,4.56,25,18,102.2,451,106,56,52,14,39,0,4,85
402,Mitch Spence,KCR,5,6,4.51,32,18,117.2,510,122,64,59,16,36,1,6,88
403,Bruce Zimmermann,STL,6,8,4.55,24,18,112.2,489,126,62,57,15,27,0,3,76
404,Nabil Crismatt,TEX,4,7,4.89,26,18,103,439,108,61,56,15,27,0,3,69
405,Ronel Blanco,HOU,7,7,4.2,25,18,109.1,462,98,55,51,17,47,0,2,105
