#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO
195,José A. Ferrer,SEA,2,2,3.26,43,0,43,177,38,17,15,3,12,3,41
196,Jameson Taillon,CHC,5,7,4.84,19,19,104,446,109,60,56,19,29,3,84
197,Adrian Houser,SFG,4,6,4.45,20,15,87,382,93,47,43,10,31,4,60
198,Chad Patrick,MIL,4,4,4.28,36,8,69,294,65,35,33,10,24,3,64
199,Quinn Priester,MIL,3,4,4.31,11,11,61,265,62,32,29,7,25,3,48
200,Mark Leiter Jr.,ATH,3,2,3.96,42,0,42,179,38,20,18,5,17,3,44
201,Mick Abel,MIN,3,3,4.29,14,8,50,217,47,26,24,6,22,2,47
202,Reynaldo López,ATL,4,4,3.89,41,6,68,287,61,32,29,8,25,2,69
203,Nick Pivetta,SDP,2,2,3.83,5,5,30,125,26,14,13,4,10,1,33
204,Shane Smith,CHW,2,3,4.29,8,8,43,184,39,22,20,5,18,3,41
205,Jacob Latz,TEX,2,2,4.08,44,1,50,213,44,24,22,6,22,1,50
206,Jack Kochanowicz,LAA,4,7,4.89,26,16,95,423,102,56,52,11,40,7,63
207,Bryan Abreu,HOU,2,2,3.44,41,0,41,175,31,17,16,4,21,3,54
208,Ian Seymour,TBR,3,3,3.93,45,2,55,232,50,26,24,7,17,3,56
209,Griffin Canning,SDP,5,6,4.55,20,16,87,378,84,48,44,13,37,3,80
210,Graham Ashcraft,CIN,3,2,4.03,43,0,43,184,40,21,19,4,16,2,42
211,Riley O'Brien,STL,2,2,3.44,43,0,43,184,38,18,17,3,18,4,46
212,Keider Montero,DET,3,4,4.55,18,9,60,260,61,33,30,9,21,3,48
213,Simeon Woods Richardson,MIN,3,4,4.66,30,9,68,299,69,38,35,10,27,2,57
214,Walker Buehler,SDP,4,5,4.61,18,13,71,312,72,39,36,10,28,4,60
215,Keaton Winn,SFG,3,2,3.78,43,1,47,201,45,22,20,4,16,2,43
216,Daniel Palencia,CHC,3,2,3.73,42,0,42,178,35,19,17,5,18,2,47
217,Brandon Young,BAL,3,4,4.63,17,9,56,242,58,31,29,8,19,1,46
218,Corbin Burnes,ARI,2,1,3.82,4,4,25,106,24,12,11,3,8,1,25
219,Hurston Waldrep,ATL,3,3,4.26,8,8,47,207,46,24,22,5,23,2,42
220,Jakob Junis,TEX,2,2,3.98,41,0,41,173,40,20,18,5,11,2,35
221,Martín Pérez,ATL,3,3,4.23,18,7,51,221,52,26,24,6,19,2,42
222,Troy Melton,DET,3,3,4.11,28,5,50,214,49,25,23,7,16,1,44
223,Tyler Phillips,MIA,3,4,4.34,35,7,72,315,75,38,35,8,29,2,54
224,Jake Irvin,WSN,3,4,4.62,18,10,64,274,64,35,33,10,22,3,53
225,Mason Montgomery,PIT,2,2,3.77,42,0,42,180,37,19,18,5,17,2,46
226,Will Vest,DET,3,2,3.38,40,0,40,165,35,16,15,3,13,1,40
227,Brooks Raley,NYM,2,2,3.74,41,0,41,172,35,18,17,4,16,3,41
228,Peter Lambert,HOU,3,4,4.53,21,9,64,281,64,35,32,9,27,3,56
229,Orion Kerkering,PHI,3,2,3.55,39,0,39,162,33,17,15,4,15,2,43
230,David Festa,MIN,2,2,3.8,17,3,31,133,28,14,13,4,11,1,33
231,Lance McCullers Jr.,HOU,2,3,4.4,17,7,45,198,41,24,22,6,23,3,46
232,Tyler Rogers,TOR,3,2,3.78,47,0,47,198,48,21,20,4,12,2,32
233,Chris Martin,TEX,3,2,3.58,39,0,39,160,37,17,15,4,8,1,36
234,Spencer Miles,TOR,3,2,3.69,37,2,46,195,42,21,19,5,16,1,46
235,Seranthony Domínguez,CHW,3,3,4.1,41,0,41,178,35,20,19,5,20,2,48
236,Hunter Dobbins,STL,4,5,4.49,35,10,77,334,80,42,38,9,27,4,54
237,Luke Weaver,NYM,2,2,3.85,44,0,44,185,39,20,19,6,15,2,48
238,Anthony Bender,MIA,3,2,3.65,41,0,41,174,37,18,17,4,17,3,41
239,Ryan Gusto,MIA,2,3,4.53,18,6,45,198,46,25,23,6,17,2,38
240,Trevor McDonald,SFG,3,3,4.11,16,7,51,218,51,25,23,5,18,5,40
241,Taylor Rogers,MIN,2,2,4.03,41,0,41,177,38,20,18,4,17,3,40
242,Erik Sabrowski,CLE,2,2,3.47,35,0,35,149,25,14,13,4,21,1,48
243,Sean Newcomb,CHW,2,2,3.76,42,0,42,179,39,19,17,4,16,3,40
244,Kyle Hurt,LAD,2,2,4.01,43,0,43,182,37,21,19,5,20,2,48
245,Bryan King,HOU,2,2,3.74,42,0,42,179,39,19,18,5,14,3,40
246,David Sandlin,CHW,3,5,4.81,17,10,62,270,64,36,33,10,23,2,51
247,Cole Sands,MIN,2,2,3.99,36,0,36,153,34,17,16,4,12,2,36
248,Caleb Thielbar,CHC,3,2,3.87,40,0,40,167,35,18,17,5,15,1,41
249,Justin Slaten,BOS,3,3,3.98,42,0,42,177,38,20,18,5,15,1,42
250,Miles Mikolas,WSN,3,6,5.08,14,14,73,318,83,45,41,13,19,2,48
251,Patrick Sandoval,BOS,2,2,3.82,19,3,34,144,32,16,14,3,14,1,32
252,Bryan Hudson,CHW,2,2,4.05,43,0,43,186,40,21,19,4,19,2,42
253,Kai-Wei Teng,HOU,3,4,4.42,36,6,62,269,56,33,30,7,29,6,61
254,Sam Hentges,SFG,2,1,3.42,37,0,37,155,32,15,14,3,14,1,37
255,Mason Englert,TBR,2,2,4.24,27,3,43,183,43,22,20,6,13,2,38
256,Robert Gasser,MIL,2,2,4.22,16,4,34,145,32,17,16,5,12,3,32
257,Jordan Montgomery,TEX,2,2,4.17,9,4,29,124,30,14,13,4,9,1,23
258,Cristian Javier,HOU,3,4,4.84,10,10,52,230,49,30,28,8,25,2,48
259,Kirby Yates,LAA,2,2,3.9,39,0,39,166,32,18,17,5,19,2,47
260,Rico Garcia,BAL,2,2,4.01,43,0,43,184,38,21,19,6,19,1,47
261,Joel Kuhnel,ATH,2,2,4.05,40,0,40,171,43,20,18,4,11,2,28
262,Hunter Barco,PIT,2,2,4.37,22,5,43,187,41,22,21,5,20,3,39
263,Jonah Tong,NYM,2,2,3.83,14,3,27,114,23,12,11,3,12,1,30
264,Jonathan Loáisiga,ARI,2,2,3.61,40,0,40,171,40,18,16,4,12,2,33
265,Brent Headrick,NYY,2,2,3.89,40,0,40,168,36,19,17,5,13,2,42
266,Camilo Doval,NYY,2,2,3.73,41,0,41,172,34,18,17,4,18,2,45
267,Carson Whisenhunt,SFG,2,2,4.25,12,5,36,157,36,18,17,4,14,2,28
268,Jaden Hill,COL,2,2,4.44,40,0,40,174,39,21,20,5,17,3,41
269,A.J. Minter,NYM,3,2,3.45,38,0,38,158,32,16,15,4,13,1,42
270,Scott Barlow,ATH,2,2,4.13,41,0,41,180,36,20,19,4,21,3,43
271,Braydon Fisher,TOR,2,2,3.69,39,0,39,167,33,17,16,4,18,2,44
272,Jonathan Cannon,CHW,2,3,4.89,16,6,44,192,46,26,24,7,17,2,33
273,JR Ritchie,ATL,3,3,4.6,9,9,50,217,49,27,25,6,21,3,42
274,Cody Bradford,TEX,2,2,4.13,18,3,32,137,32,16,15,5,9,1,28
275,Danny Coulombe,BOS,2,2,3.89,40,0,40,171,38,19,17,4,16,2,37
276,Gabe Speier,SEA,2,2,3.42,39,0,39,161,33,16,15,4,13,2,44
277,Brad Lord,WSN,3,3,4.16,46,2,55,237,56,28,26,6,17,3,45
278,River Ryan,LAD,1,1,4.43,4,4,24,104,24,13,12,3,9,1,20
279,JoJo Romero,STL,3,2,3.63,43,0,43,183,39,19,17,4,18,2,41
280,Coleman Crow,MIL,1,1,4.04,14,3,28,119,27,14,13,3,8,2,25
281,Kevin Kelly,TBR,3,3,3.83,41,0,41,171,39,19,17,5,11,3,35
282,Jason Adam,SDP,3,2,3.67,42,0,42,178,36,19,17,4,16,3,41
283,Walbert Ureña,LAA,3,5,4.89,23,12,71,321,73,42,39,8,39,4,54
284,Tyler Alexander,TEX,3,4,4.61,44,3,58,250,60,32,30,9,17,2,47
285,Dennis Santana,PIT,2,2,4.06,41,0,41,175,38,20,18,4,16,2,36
286,Gus Varland,WSN,2,2,4.28,41,0,41,181,41,21,20,5,17,2,39
287,Tyler Holton,DET,2,2,3.71,40,0,40,167,37,18,17,5,11,1,34
288,Andrew Kittredge,BAL,2,2,3.77,40,0,40,166,38,18,17,5,11,1,39
289,Thomas White,MIA,1,2,4.14,4,4,24,105,22,12,11,3,13,1,23
290,Andrew Nardi,MIA,3,3,3.81,39,0,39,166,33,18,16,5,17,2,47
291,Colin Holderman,CLE,2,2,3.75,39,0,39,165,35,17,16,4,15,2,40
292,Cade Povich,BAL,2,2,4.25,16,3,30,127,29,15,14,4,11,1,28
293,Evan Sisk,PIT,2,2,3.71,38,0,38,162,34,17,15,3,17,3,38
294,Mason Fluharty,TOR,2,2,3.71,37,0,37,157,32,17,15,4,16,2,40
295,Alan Rangel,PHI,1,2,4.83,12,4,31,134,32,18,17,5,11,1,25
296,Juan Mejia,COL,2,2,4.54,41,0,41,180,38,22,21,5,20,3,42
297,Jose Quintana,COL,2,3,5.23,6,6,33,150,38,21,19,5,14,1,21
298,Will Klein,LAD,2,2,3.98,39,0,39,171,34,19,17,4,20,2,42
299,Tyler Kinley,ATL,3,2,4.09,40,0,40,172,35,20,18,5,17,2,45
300,Jack Perkins,ATH,2,2,3.7,35,0,35,149,30,16,15,4,14,3,38
301,Shane Drohan,MIL,3,3,3.95,41,2,50,215,45,24,22,6,20,2,50
302,Eduard Bazardo,SEA,2,2,3.69,40,0,40,169,35,18,16,4,14,2,40
303,Didier Fuentes,ATL,3,3,3.96,38,1,42,178,39,20,18,5,14,3,43
304,Yennier Cano,BAL,2,2,3.59,38,0,38,162,36,17,15,4,13,2,35
305,Emilio Pagán,CIN,2,2,4.38,32,0,32,134,28,17,15,5,12,1,33
306,Chris Paddack,CIN,1,2,5.04,5,5,28,122,31,17,16,5,8,1,22
307,Eric Orze,MIN,2,2,4.01,38,0,38,164,35,18,17,4,18,2,36
308,Andrew Morris,MIN,2,2,4.02,38,0,38,163,39,19,17,4,11,1,32
309,Jordan Wicks,CHC,2,1,4.04,15,3,27,116,27,13,12,3,9,1,24
310,Erik Miller,SFG,2,2,3.51,41,0,41,177,33,17,16,3,24,1,47
311,Enyel De Los Santos,HOU,2,2,3.93,40,0,40,171,36,19,18,5,14,2,40
312,Jake Bennett,BOS,1,2,4.49,12,4,29,124,31,16,14,3,9,1,20
313,Jovani Morán,BOS,2,2,3.96,38,0,38,163,33,18,17,4,18,1,43
314,Shawn Armstrong,CLE,2,2,3.8,40,0,40,171,36,18,17,5,14,2,43
315,Daniel Lynch IV,KCR,2,2,4.07,42,0,42,179,41,21,19,5,14,2,36
316,A.J. Puk,ARI,2,1,3.46,32,0,32,133,27,13,12,3,12,2,36
317,Jesse Scholtens,TBR,1,2,4.66,12,3,27,119,28,15,14,4,9,1,23
318,Blake Treinen,LAD,3,3,4.06,37,0,37,157,34,18,17,4,15,2,39
319,Anthony Nunez,BAL,3,3,4.06,40,0,40,172,36,20,18,5,17,2,44
320,Bradgley Rodriguez,SDP,2,2,3.8,37,0,37,158,33,17,16,3,16,2,34
321,Brad Keller,PHI,2,2,4.17,44,0,44,189,42,22,20,6,18,2,41
322,Pierce Johnson,CIN,2,2,4.41,40,0,40,175,39,21,20,6,17,1,43
323,Nick Mears,KCR,2,3,4.39,40,0,40,174,38,21,19,4,18,1,37
324,Peyton Gray,TEX,2,3,4.17,35,0,35,151,33,18,16,4,13,1,34
325,Hunter Gaddis,CLE,2,2,3.96,42,0,42,180,39,20,19,6,14,2,41
326,Justin Sterner,ATH,2,2,4.19,39,0,39,164,35,19,18,5,14,2,39
327,Kendry Rojas,MIN,2,2,4.28,26,2,34,149,33,18,16,4,15,2,31
328,Huascar Brazobán,NYM,2,2,3.98,40,0,40,172,36,19,18,4,18,2,38
329,Ty Johnson,TBR,1,1,4.21,2,2,12,53,11,6,6,2,5,1,12
330,Jacob Webb,CHC,2,2,4.04,41,0,41,173,36,20,18,5,16,2,41
331,Ryne Stanek,STL,2,2,4.11,41,0,41,178,35,20,19,4,22,1,44
332,Tyler Wells,BAL,2,2,4.16,39,0,39,162,36,19,18,6,10,1,36
333,Paul Sewald,ARI,3,2,4.17,42,0,42,176,38,21,19,6,14,2,43
334,Brennan Bernardino,COL,2,3,4.32,40,0,40,174,40,21,19,4,17,3,35
335,Erick Fedde,CHW,2,4,5.36,8,8,47,209,52,30,28,8,19,1,34
336,Mitchell Parker,WSN,2,3,4.46,36,2,45,196,46,24,23,6,15,1,36
337,Dylan Dodd,ATL,2,2,3.81,39,0,39,164,39,18,16,5,10,1,35
338,Sam Bachman,LAA,2,2,4.23,41,0,41,182,39,21,20,4,20,2,39
339,Josh Stephan,TEX,1,1,4.32,11,2,21,91,22,11,10,3,7,1,16
340,Jack Wenninger,NYM,1,1,4.09,6,2,16,69,15,8,7,2,6,1,14
341,Jared Koenig,MIL,2,1,3.6,32,0,32,137,29,14,13,3,12,1,33
342,Tobias Myers,NYM,2,2,4.17,38,1,42,180,42,21,20,6,12,1,36
343,Zach Thornton,NYM,1,2,4.39,12,3,25,106,25,13,12,3,8,1,20
344,Mason Barnett,ATH,1,2,4.75,20,3,34,149,34,19,18,5,15,2,28
345,Kenley Jansen,DET,2,2,4.3,32,0,32,138,28,17,15,5,13,1,34
346,Hagen Smith,CHW,1,1,4.5,3,3,18,81,16,10,9,2,11,1,18
