#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,SO%
235,Daniel Lynch IV,KCR,2,3,4.13,29,7,,,,57,246,56,28,26,7,20,,3,49,0.199
236,Tyler Wells,BAL,2,3,4.41,17,7,,,,48,200,45,26,24,8,12,,1,42,0.21
237,Edwin Díaz,LAD,3,1,3.27,31,0,,,,32,131,23,13,12,3,12,,3,46,0.351
238,Bradgley Rodriguez,SDP,2,2,3.67,34,1,,,,39,162,33,17,16,3,15,,3,37,0.228
239,Will Vest,DET,4,3,3.53,36,0,,,,38,161,34,16,15,3,12,,1,39,0.242
240,Bryan Baker,TBR,2,2,3.78,41,0,,,,40,167,34,18,17,5,15,,1,45,0.269
241,Keaton Winn,SFG,2,2,4.02,20,6,,,,40,171,39,19,18,4,13,,2,36,0.211
242,Luis Morales,ATH,3,5,4.79,16,12,,,,64,280,62,37,34,10,28,,2,58,0.207
243,Mason Fluharty,TOR,3,2,3.6,42,1,,,,39,163,32,17,15,4,15,,2,44,0.27
244,Andrés Muñoz,SEA,4,2,3.1,39,0,,,,39,159,27,15,14,4,14,,3,52,0.327
245,Gregory Soto,PIT,2,2,3.54,40,0,,,,36,153,31,15,14,2,15,,4,41,0.268
246,Jedixson Paez,BOS,1,3,4.79,11,7,,,,40,171,43,23,21,6,10,,2,31,0.181
247,Mason Englert,TBR,1,2,4.18,24,3,,,,43,182,42,22,20,6,11,,2,39,0.214
248,Dylan Dodd,ATL,2,2,4.06,19,5,,,,46,194,47,22,21,6,11,,1,40,0.206
249,Chase Petty,CIN,3,7,5.58,14,14,,,,64,284,68,43,39,9,28,,3,46,0.162
250,Kyle Leahy,STL,3,4,4.38,29,7,,,,66,284,64,35,32,8,24,,3,57,0.201
251,Matt Brash,SEA,3,2,3.14,34,0,,,,33,139,28,12,11,2,13,,2,38,0.273
252,Fernando Cruz,NYY,3,2,3.65,35,1,,,,33,144,27,15,13,3,17,,2,45,0.313
