Date,Home,Away,Home_Runs_In1,Home_OB_In1,Home_SO_In1,Home_Runs_In2,Home_OB_In2,Home_SO_In2,Home_Runs_In3,Home_OB_In3,Home_SO_In3,Home_Runs_In4,Home_OB_In4,Home_SO_In4,Home_Runs_In5,Home_OB_In5,Home_SO_In5,Home_Runs_In6,Home_OB_In6,Home_SO_In6,Home_Runs_In7,Home_OB_In7,Home_SO_In7,Home_Runs_In8,Home_OB_In8,Home_SO_In8,Home_Runs_In9,Home_OB_In9,Home_SO_In9,Away_Runs_In1,Away_OB_In1,Away_SO_In1,Away_Runs_In2,Away_OB_In2,Away_SO_In2,Away_Runs_In3,Away_OB_In3,Away_SO_In3,Away_Runs_In4,Away_OB_In4,Away_SO_In4,Away_Runs_In5,Away_OB_In5,Away_SO_In5,Away_Runs_In6,Away_OB_In6,Away_SO_In6,Away_Runs_In7,Away_OB_In7,Away_SO_In7,Away_Runs_In8,Away_OB_In8,Away_SO_In8,Away_Runs_In9,Away_OB_In9,Away_SO_In9,Home_Runs_Total,Away_Runs_Total,Runs_Total,Total_After_5,Over_45,Over_85,Over_Then_Under,Under_Then_Over
8/19/25,CHC,MIL,0,2,2,2,3,2,0,0,1,0,2,0,1,3,2,1,1,1,0,0,0,0,1,1,0,0,0,1,3,2,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,4,1,5,4,0,0,0,0
8/19/25,TB,NYY,0,2,0,2,3,1,0,1,0,0,0,2,0,1,1,0,1,1,0,1,0,1,4,0,0,1,1,3,3,3,2,5,0,1,1,0,4,4,1,0,1,1,2,3,2,0,1,1,0,1,1,1,2,1,3,13,16,12,1,1,0,0
8/19/25,WSH,NYM,0,0,2,0,0,0,0,1,0,0,0,2,0,0,1,0,2,2,0,0,2,1,2,1,0,1,0,0,1,1,0,2,0,5,5,0,0,1,1,0,1,0,1,1,1,1,3,1,0,1,2,1,1,0,1,8,9,5,1,1,0,0
8/19/25,PIT,TOR,0,1,1,1,3,1,0,0,1,0,1,0,0,0,0,0,2,1,1,2,1,1,2,2,0,0,1,3,5,1,2,2,1,0,2,1,0,2,2,0,0,1,0,0,1,2,2,0,0,1,1,0,1,1,3,7,10,6,1,1,0,0
8/19/25,PHI,SEA,1,1,1,0,0,1,2,4,0,1,1,1,0,0,1,0,1,1,0,0,0,2,3,1,0,0,0,0,0,2,0,1,3,1,3,2,0,0,2,0,2,0,0,1,2,3,4,1,0,0,2,0,0,1,6,4,10,5,1,1,0,0
8/19/25,BOS,BAL,0,2,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,2,5,2,0,1,1,0,2,1,0,1,0,0,2,2,3,4,2,0,1,0,0,0,2,0,1,1,0,0,0,3,3,6,4,0,0,0,0
8/19/25,DET,HOU,0,2,1,0,1,2,0,2,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,2,1,0,2,1,0,0,3,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8/19/25,MIA,STL,0,0,2,0,1,1,0,0,0,2,1,0,0,0,0,2,4,2,0,0,2,0,0,1,0,2,2,1,3,2,2,3,0,1,4,1,0,1,2,2,2,1,0,0,1,1,1,1,0,0,0,0,2,1,4,7,11,8,1,1,0,0
8/19/25,ATL,CWS,2,3,1,0,2,0,0,1,0,2,3,1,0,0,1,0,0,1,5,6,0,2,4,0,0,0,0,0,1,1,0,0,1,3,4,0,0,0,0,5,7,1,2,2,1,0,0,2,0,0,0,0,0,0,11,10,21,12,1,1,0,0
8/20/25,LAA,CIN,0,1,1,0,1,1,0,1,1,1,2,2,0,0,1,0,0,1,0,0,2,1,4,1,0,0,0,0,0,1,0,2,1,1,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,1,2,1,3,2,0,0,0,0
