#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
273,Nasim Nuñez,WSN,60,222,252,52,41,8,1,2,30,14,23,0,55,1,2,4,20,4,0.234
274,Christian Vázquez,HOU,48,167,187,37,27,6,0,4,18,18,13,0,35,1,1,2,1,1,0.222
275,Gary Sánchez,MIL,29,102,118,23,13,4,0,6,13,18,12,0,29,2,1,0,0,0,0.222
276,Zach McKinstry,DET,66,251,280,58,39,13,1,5,32,25,24,1,59,2,2,1,9,3,0.23
277,Connor Wong,BOS,42,146,161,34,23,6,1,4,18,17,11,0,39,2,1,1,3,1,0.235
278,Jasson Domínguez,NYY,36,139,156,35,22,7,0,5,21,18,15,1,35,1,1,0,6,2,0.251
279,Gavin Lux,TBR,41,154,175,38,27,8,1,2,18,16,19,0,38,1,1,0,1,0,0.243
280,Blaze Alexander,BAL,48,182,205,43,30,7,1,5,25,18,16,0,60,4,1,2,5,2,0.236
281,Gabriel Arias,CLE,37,147,161,34,22,7,0,5,18,18,11,0,49,2,1,0,3,1,0.23
282,Lane Thomas,KCR,65,243,274,57,36,11,2,8,37,28,26,0,63,3,2,0,11,3,0.236
283,Ramón Urías,STL,38,142,158,35,23,6,0,5,18,19,12,0,32,2,1,0,1,0,0.246
284,Jung Hoo Lee,SFG,75,287,317,77,54,18,2,3,36,31,24,1,35,3,3,0,3,1,0.267
285,Travis d'Arnaud,LAA,30,104,116,24,15,4,0,4,12,14,8,0,30,2,1,0,0,0,0.229
286,Carson Williams,TBR,63,242,268,51,32,10,2,8,30,28,21,0,90,3,1,1,6,2,0.211
287,Freddy Fermin,SDP,48,168,186,38,27,7,0,4,18,17,13,0,36,1,1,2,1,0,0.226
288,Drew Romo,CHW,40,141,154,30,20,6,0,4,15,16,10,0,40,1,1,1,1,1,0.216
289,Drew Millas,WSN,41,143,157,34,25,7,0,2,15,14,11,1,29,1,1,1,3,1,0.238
290,Jac Caglianone,KCR,81,309,342,73,44,16,1,13,41,45,27,1,88,4,2,0,3,1,0.238
291,Jonah Heim,ATH,26,95,105,21,14,4,0,3,11,12,8,0,20,1,1,0,0,0,0.225
292,Nathan Church,STL,43,167,181,42,30,7,1,4,21,19,10,0,30,2,1,1,4,1,0.252
293,Max Muncy,ATH,43,171,187,41,26,8,1,6,23,21,12,0,54,3,1,1,3,1,0.241
294,Addison Barger,TOR,47,179,199,43,25,10,0,7,24,25,17,1,47,2,1,0,2,0,0.237
295,Edouard Julien,COL,66,245,283,61,42,13,1,6,34,31,34,1,75,2,2,1,4,1,0.251
296,Ty France,SDP,57,215,239,54,39,9,0,6,26,27,15,0,44,8,2,0,1,0,0.252
297,Miguel Rojas,LAD,37,146,164,37,27,6,1,3,19,16,11,0,22,1,1,2,2,1,0.252
298,Nathan Lukes,TOR,50,191,212,49,36,9,1,4,24,20,16,1,32,2,1,2,2,1,0.259
299,Moisés Ballesteros,CHC,41,157,175,41,27,8,0,6,21,23,15,1,33,1,1,0,0,0,0.26
300,Leody Taveras,BAL,39,152,168,37,25,7,1,5,22,17,13,0,35,1,1,1,7,2,0.244
301,Luisangel Acuña,CHW,58,228,246,56,42,10,2,3,28,19,14,0,45,1,1,2,12,3,0.246
302,Nick Fortes,TBR,56,195,216,43,30,8,0,5,20,21,12,0,36,4,1,3,1,0,0.219
303,Ben Williamson,TBR,53,206,226,52,39,9,2,2,24,19,16,0,46,2,1,1,4,1,0.252
304,Jeremiah Jackson,BAL,43,175,187,43,28,8,1,6,22,22,9,0,42,1,1,0,3,1,0.244
305,J.C. Escarra,NYY,23,82,92,18,12,4,0,2,9,9,8,0,17,1,1,0,1,0,0.215
306,Connor Norby,MIA,72,275,305,65,43,13,2,7,34,34,24,0,83,4,2,0,6,2,0.237
307,Mark Vientos,NYM,67,262,287,63,39,12,0,12,33,38,20,0,71,3,2,0,0,0,0.24
308,Tristan Peters,CHW,37,144,160,33,23,7,1,3,16,15,12,0,32,1,1,1,3,1,0.23
309,Endy Rodríguez,PIT,26,93,105,22,14,5,0,2,11,11,9,0,22,1,1,0,0,0,0.235
310,Yoán Moncada,LAA,45,166,189,38,24,8,0,6,21,22,19,0,52,2,1,0,1,0,0.228
311,Everson Pereira,CHW,46,178,196,40,25,7,1,7,23,23,15,0,59,2,1,0,3,1,0.227
312,Davis Schneider,TOR,25,93,108,20,11,4,0,5,14,14,14,0,32,1,1,0,1,0,0.212
313,Wenceel Pérez,DET,50,191,212,45,29,9,1,6,26,23,17,0,40,1,2,1,5,2,0.236
314,Dane Myers,CIN,36,139,154,34,23,5,1,5,19,17,12,0,38,2,1,0,4,1,0.244
315,Nathaniel Lowe,CIN,56,205,236,51,34,9,0,7,28,27,27,1,55,1,1,0,1,0,0.247
316,Derek Hill,CHW,28,107,118,26,18,4,1,3,15,11,7,0,34,1,1,2,5,1,0.238
317,Agustín Ramírez,MIA,29,107,119,26,17,6,0,4,14,14,9,0,23,1,1,0,3,1,0.246
318,Jonny DeLuca,TBR,40,156,171,36,23,7,2,4,20,16,11,0,35,2,1,1,6,2,0.229
319,Brice Matthews,HOU,29,111,124,24,15,4,1,4,16,12,10,0,40,1,1,1,5,1,0.214
320,Edwin Arroyo,CIN,29,113,123,29,19,6,1,3,14,13,7,0,24,1,1,1,3,0,0.258
321,Jake Rogers,DET,25,89,100,19,11,4,0,3,11,11,8,0,28,1,1,0,1,0,0.209
322,Nolan Schanuel,LAA,77,286,328,72,54,14,1,4,35,28,33,1,46,5,3,2,3,1,0.252
323,Kyle Isbel,KCR,75,288,320,66,46,13,2,5,35,26,21,0,65,3,2,6,8,2,0.228
324,Andrew Benintendi,CHW,75,287,319,69,45,13,0,11,35,40,27,1,63,2,3,1,2,1,0.242
325,Brandon Valenzuela,TOR,22,78,87,17,11,3,0,2,9,9,7,0,23,0,1,0,0,0,0.217
326,Andruw Monasterio,BOS,30,115,127,28,19,5,0,4,15,14,10,0,29,1,1,0,3,1,0.243
327,Parker Meadows,DET,34,130,145,29,19,6,1,3,17,13,13,0,36,1,1,0,4,1,0.22
328,Victor Robles,SEA,36,137,154,32,22,6,1,3,19,12,10,0,36,4,1,3,7,2,0.234
329,Matt Wallner,MIN,45,163,187,35,19,8,0,8,23,24,19,0,60,4,1,0,1,1,0.214
330,Brady House,WSN,42,164,176,40,28,7,1,4,18,21,9,0,47,1,1,0,2,1,0.245
331,Esteury Ruiz,MIA,30,116,129,27,18,5,1,3,17,11,8,0,32,3,1,1,10,2,0.235
332,Harry Ford,WSN,19,65,74,15,10,3,0,1,8,8,7,0,17,1,0,0,1,0,0.229
333,Noelvi Marte,CIN,40,154,168,39,25,8,1,6,21,20,11,0,37,2,1,0,4,1,0.253
334,David Hamilton,MIL,52,199,222,42,30,7,1,4,27,17,18,0,56,1,1,2,17,3,0.213
335,Bo Naylor,CLE,12,43,49,9,5,2,0,2,6,6,5,0,12,0,0,0,0,0,0.217
336,Leo Jiménez,MIA,19,70,80,18,12,3,0,1,9,8,6,0,16,3,1,0,1,0,0.251
337,Ke'Bryan Hayes,CIN,32,125,137,30,22,5,1,3,15,13,9,0,25,1,1,0,2,1,0.243
338,Michael Conforto,CHC,33,122,141,28,17,6,0,5,17,18,16,0,34,2,1,0,0,0,0.23
339,Matt Shaw,CHC,29,111,123,27,19,5,1,3,16,12,10,0,24,1,1,0,4,1,0.248
340,Denzel Clarke,ATH,19,74,82,17,12,3,1,2,10,7,6,0,26,1,0,1,2,1,0.231
