Player_ID,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
108,Yonathan Perlaza,,131,514,574,121,73,31,1,16,71,69,55,2,152,3,2,0,8,5,0.235
109,George Lombard Jr.,NYY,137,514,586,105,65,26,4,10,72,64,58,0,172,11,3,0,20,7,0.204
110,Denzer Guzman,LAA,144,514,571,113,72,25,2,14,58,64,45,0,177,7,2,3,8,3,0.22
111,J.P. Crawford,SEA,143,513,594,124,88,23,1,12,66,56,69,1,112,5,3,4,5,1,0.242
112,Tyler Soderstrom,ATH,147,513,568,131,79,26,2,24,64,89,46,2,131,6,3,0,4,2,0.255
113,Alec Bohm,PHI,135,512,561,144,99,28,2,15,64,73,37,2,86,5,7,0,3,1,0.281
114,Aroon Escobar,PHI,134,512,566,120,89,14,4,13,69,64,36,2,127,13,5,0,11,3,0.234
115,Matt McLain,CIN,141,511,580,127,80,24,3,20,79,75,57,0,158,7,3,2,18,4,0.249
116,Nick Kurtz,ATH,139,510,584,132,71,29,1,31,91,101,68,3,161,3,3,0,2,1,0.259
117,Jose Altuve,HOU,133,510,567,135,91,25,1,18,73,64,48,3,101,6,3,0,11,4,0.265
118,TJ Friedl,CIN,144,508,592,124,88,19,4,13,68,62,62,0,99,13,5,4,13,3,0.244
119,Luis García Jr.,WSN,141,508,544,136,93,25,2,16,67,71,29,1,86,1,6,0,13,5,0.268
120,Ryan Clifford,NYM,145,508,587,107,58,23,1,25,64,77,68,1,178,7,4,0,4,2,0.211
121,Zach Evans,SDP,126,508,546,112,90,17,1,4,46,42,29,0,139,4,3,2,7,2,0.22
122,Bryson Stott,PHI,148,507,570,132,94,22,3,13,70,63,52,1,94,3,6,2,23,4,0.26
123,Rhylan Thomas,HOU,136,507,558,137,110,22,1,4,69,53,34,1,43,3,4,10,17,6,0.27
124,Xavier Edwards,MIA,132,506,566,143,114,21,4,4,68,49,49,1,77,2,4,5,26,6,0.283
125,Trevor Story,BOS,134,506,544,131,82,29,2,18,68,75,29,2,152,5,3,1,20,1,0.259
126,Patrick Clohisy,ATL,133,506,552,117,91,18,3,5,57,49,35,0,125,8,3,0,37,11,0.231
127,Ryan Waldschmidt,ARI,132,505,584,118,82,23,3,10,78,66,62,1,129,13,4,0,15,7,0.234
128,Jeral Perez,CHW,127,505,549,109,68,22,2,17,57,64,34,0,145,7,3,0,5,2,0.216
129,Christian Walker,HOU,136,503,565,115,66,23,1,25,65,77,48,2,145,8,6,0,3,1,0.229
130,Edwin Arroyo,CIN,130,503,546,129,100,22,3,4,55,50,28,0,111,6,6,3,7,5,0.256
131,Aaron Judge,NYY,142,502,624,146,75,26,1,44,108,120,111,22,156,6,5,0,8,2,0.291
132,Roman Anthony,BOS,136,502,590,132,84,27,3,18,88,74,79,1,146,5,4,0,7,4,0.263
133,Seaver King,WSN,127,502,541,115,90,16,4,5,59,47,25,1,129,5,3,6,16,3,0.229
134,Geraldo Perdomo,ARI,152,501,599,134,92,25,4,13,87,67,74,1,79,7,7,10,21,5,0.267
135,Thomas Saggese,STL,135,501,546,124,88,23,2,11,64,58,33,0,144,7,4,1,6,3,0.248
136,Jonathon Long,CHC,136,501,570,123,90,17,1,15,68,69,57,0,132,8,4,0,1,0,0.246
137,Jackson Merrill,SDP,138,500,546,138,85,27,5,21,71,77,35,2,105,3,5,3,6,3,0.276
138,Ryan McMahon,NYY,146,500,569,105,64,21,1,19,61,66,62,2,184,4,3,0,3,3,0.21
139,Brayan Rocchio,CLE,149,500,561,120,79,28,3,10,64,57,44,0,104,8,5,4,12,6,0.24
140,Carson Williams,TBR,138,499,554,108,65,18,5,20,70,71,46,0,192,5,2,2,16,8,0.216
141,Grant McCray,SFG,135,499,554,114,75,21,6,12,75,61,44,0,166,5,4,2,21,5,0.228
142,Adolis García,PHI,134,498,548,123,72,25,1,25,70,83,38,1,140,6,6,0,11,4,0.247
143,Kyle Tucker,LAD,138,497,581,132,76,25,2,29,87,92,78,5,83,3,2,1,20,3,0.266
144,Oneil Cruz,PIT,141,497,569,120,68,23,4,25,77,75,63,4,172,4,5,0,32,5,0.241
