#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
143,Spencer Torkelson,DET,96,362,413,84,44,20,1,19,50,56,44,2,112,5,2,0,1,0,0.231
144,Sal Frelick,MIL,85,331,367,87,65,13,3,6,46,38,29,1,47,3,3,1,10,3,0.263
145,José Caballero,NYY,69,262,298,60,40,12,1,6,36,30,26,0,69,6,1,2,29,8,0.228
146,Garrett Mitchell,MIL,74,277,320,64,40,15,3,7,40,43,37,1,109,3,2,2,13,5,0.231
147,Adolis García,PHI,94,369,408,87,53,17,1,16,48,54,30,1,109,5,3,0,7,2,0.237
148,Alec Bohm,PHI,85,335,366,89,62,17,1,10,39,46,25,1,55,3,3,0,2,1,0.267
149,Justin Crawford,PHI,85,333,366,92,69,15,3,5,51,35,26,0,73,2,2,4,19,5,0.275
150,George Springer,TOR,93,356,404,88,56,16,1,14,54,49,41,1,79,5,2,0,9,2,0.248
151,Francisco Alvarez,NYM,52,183,207,43,26,8,0,9,24,28,20,0,55,3,1,0,0,0,0.234
152,Carter Jensen,KCR,74,269,303,65,42,12,2,9,36,38,30,1,82,1,2,0,3,0,0.243
153,Sam Antonacci,CHW,76,275,330,70,52,12,4,2,46,39,29,1,54,19,2,4,15,4,0.255
154,Harrison Bader,SFG,82,324,353,76,50,14,1,11,42,41,21,0,88,5,2,0,9,4,0.236
155,Kyle Isbel,KCR,75,292,325,72,49,13,4,6,39,30,20,0,65,4,2,7,7,3,0.246
156,Jackson Holliday,BAL,72,277,313,68,46,12,1,9,42,33,32,0,70,2,2,0,9,4,0.246
157,Mike Yastrzemski,ATL,65,245,281,57,33,13,1,10,39,32,31,1,68,3,1,1,2,1,0.234
158,Jake Meyers,HOU,62,242,270,58,41,10,1,6,31,24,21,0,58,3,2,1,6,3,0.239
159,Ha-Seong Kim,ATL,74,278,318,65,48,11,1,6,36,30,34,1,59,3,2,1,12,3,0.234
160,Jung Hoo Lee,SFG,75,297,325,80,55,16,4,5,36,32,23,0,33,3,2,0,3,2,0.269
161,Samuel Basallo,BAL,77,289,319,70,40,15,0,15,39,46,25,1,80,3,2,0,1,1,0.243
162,Tyler Stephenson,CIN,71,246,281,56,34,13,1,9,30,36,31,1,80,3,2,0,0,1,0.229
163,Brendan Donovan,SEA,52,198,227,53,37,10,1,5,26,23,22,1,34,5,1,0,2,1,0.266
164,Jac Caglianone,KCR,81,313,348,80,49,15,1,14,44,43,29,1,79,5,2,0,2,1,0.254
165,Luke Raley,SEA,65,247,281,59,35,11,1,12,35,39,20,0,88,11,1,2,5,2,0.239
166,Kyle Manzardo,CLE,78,298,337,71,42,14,1,14,38,44,33,1,87,4,2,0,1,0,0.239
167,Oswald Peraza,LAA,72,284,313,65,45,10,0,9,34,30,21,0,81,6,1,0,12,3,0.229
168,Ben Williamson,TBR,53,209,231,56,41,11,2,2,29,24,17,0,45,3,1,1,5,1,0.267
169,Ezequiel Duran,TEX,75,299,325,77,49,19,1,8,39,38,20,0,77,3,2,1,9,2,0.258
170,Christian Yelich,MIL,87,331,377,85,57,14,2,12,52,51,42,4,96,2,2,0,11,2,0.257
171,Joe Mack,MIA,63,226,249,51,33,10,0,7,29,32,18,0,70,3,1,0,2,0,0.225
172,Luis Torrens,NYM,51,184,201,44,29,11,1,4,18,22,13,0,45,2,1,1,1,1,0.24
