#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
96,Kumar Rocker,TEX,6,6,4.33,24,17,0,0,,85,361,80,44,41,10,30,0,4,68
97,Zac Gallen,ARI,6,7,4.71,20,20,0,0,,108,465,108,60,57,15,39,0,4,87
98,Foster Griffin,WSN,5,8,4.77,18,18,0,0,,104,448,104,59,55,16,36,0,5,89
99,Dustin May,STL,5,8,4.76,26,17,0,0,,90.2,393,89,51,48,11,35,1,6,74
100,Bubba Chandler,PIT,5,6,4.61,25,15,0,0,,80.2,350,77,44,41,11,34,1,4,76
101,Bryce Elder,ATL,6,6,4.75,18,18,0,0,,95.2,411,98,54,50,13,33,0,4,74
102,Joey Cantillo,CLE,5,6,4.24,26,15,0,0,,81.1,348,72,41,38,11,36,1,3,80
103,Carmen Mlodzinski,PIT,4,5,4.64,28,11,0,4,,69.1,301,73,38,36,7,24,1,3,55
104,Steven Matz,TBR,5,7,4.74,24,17,0,0,,87,373,89,49,46,13,27,0,3,68
105,Connelly Early,BOS,5,5,4.18,21,14,0,0,,73,310,67,36,34,10,27,0,4,69
106,Merrill Kelly,ARI,6,6,4.85,18,18,0,0,,105.2,452,106,61,57,17,35,0,3,77
107,Payton Tolle,BOS,4,4,4.04,16,11,0,0,,58.1,243,50,28,26,9,20,0,2,60
108,J.T. Ginn,ATH,5,6,4.57,24,15,0,0,,79,340,77,43,40,11,30,1,5,72
109,Ryan Weathers,NYY,5,4,4.19,27,12,0,0,,71.1,302,66,36,33,10,25,1,3,71
110,Luis Severino,ATH,6,7,5.11,19,19,0,0,,109.2,481,114,67,62,17,42,0,7,92
111,Gage Jump,ATH,4,5,4.89,14,14,0,0,,74.1,324,76,43,40,11,27,0,3,71
112,Andrew Abbott,CIN,6,7,4.9,19,19,0,0,,107.2,462,107,63,59,19,38,0,3,82
113,Dean Kremer,BAL,5,5,4.46,18,13,0,0,,78.1,332,75,42,39,12,26,0,3,70
114,Justin Verlander,DET,4,5,4.81,14,14,0,0,,80,344,76,46,43,13,30,0,4,67
115,Jeffrey Springs,ATH,6,7,5.22,19,19,0,0,,107.2,469,113,67,62,19,37,0,3,92
116,Zebby Matthews,MIN,4,6,4.73,20,14,0,0,,72,307,74,41,38,12,20,0,2,64
117,Andrew Painter,PHI,6,6,4.81,22,17,0,0,,92.1,397,95,53,49,15,29,0,3,72
118,Emerson Hancock,SEA,6,6,4.56,38,14,0,0,,92,392,88,50,47,14,31,1,5,80
119,Seth Lugo,KCR,6,7,5.06,19,19,0,0,,109,473,114,65,61,17,38,0,4,82
120,Adrian Houser,SFG,5,6,4.78,20,15,0,0,,78,340,82,44,41,8,29,0,4,50
121,Bailey Ober,MIN,5,7,4.88,19,19,0,0,,99.1,420,97,57,54,20,27,0,4,75
122,Slade Cecconi,CLE,5,7,4.79,18,18,0,0,,98.1,418,100,56,52,17,27,0,4,77
123,Mason Miller,SDP,2,1,2.44,45,0,22,1,,30.1,121,18,9,8,3,12,1,1,46
124,Stephen Kolek,KCR,5,6,4.74,31,15,0,0,,86,373,93,48,45,10,27,1,5,56
125,Andrew Alvarez,WSN,4,5,4.29,38,10,0,0,,74.2,322,74,38,36,8,30,1,3,61
126,Kodai Senga,NYM,4,4,4.56,12,12,0,0,,66,288,60,36,34,9,32,0,3,66
127,Cade Smith,CLE,2,1,3,45,0,22,2,,32.1,131,25,12,11,3,10,1,2,42
128,Braxton Garrett,MIA,3,4,4.54,18,10,0,0,,55.1,236,56,30,28,7,16,0,3,46
129,Tatsuya Imai,HOU,5,5,4.6,15,15,0,0,,79.2,347,72,44,41,11,39,0,5,78
130,Lucas Giolito,SDP,6,7,5.01,18,18,0,0,,105,456,103,62,58,18,44,0,3,82
131,Hunter Dobbins,STL,3,5,4.69,35,10,0,0,,74.2,325,78,42,39,9,27,1,3,53
132,Justin Steele,CHC,2,2,3.7,6,6,0,0,,33.2,139,31,15,14,4,9,0,1,28
